Run 1: {'dice_score': tensor(0.7923, device='cuda:0'), 'mIoU': tensor(0.6567, device='cuda:0'), 'precision': 0.8117882907390594, 'recall': 0.7819468259811402}, Credible Intervals: {'dice_score': (0.5726622566768085, 0.9132870259825363), 'mIoU': (0.4366255267435622, 0.8237570558824081), 'precision': (0.5937512712545148, 0.92464423570073), 'recall': (0.5616272206474873, 0.9070699019670798)}
Run 2: {'dice_score': tensor(0.7692, device='cuda:0'), 'mIoU': tensor(0.6276, device='cuda:0'), 'precision': 0.8648341000080109, 'recall': 0.7037341937422752}, Credible Intervals: {'dice_score': (0.6301456191307224, 0.8805755615870522), 'mIoU': (0.4862364833756588, 0.7722688902849583), 'precision': (0.6946922649355579, 0.9207761950693394), 'recall': (0.5893436283840197, 0.8523709617808163)}
Run 3: {'dice_score': tensor(0.7850, device='cuda:0'), 'mIoU': tensor(0.6480, device='cuda:0'), 'precision': 0.8401555448770524, 'recall': 0.7463139340281486}, Credible Intervals: {'dice_score': (0.6619055461286414, 0.8675558745620507), 'mIoU': (0.5170851707429824, 0.753277050971544), 'precision': (0.7255220607063121, 0.9104821075886398), 'recall': (0.6206402395370205, 0.8371955969609836)}
Run 4: {'dice_score': tensor(0.7874, device='cuda:0'), 'mIoU': tensor(0.6510, device='cuda:0'), 'precision': 0.8234692692756653, 'recall': 0.7646746873855591}, Credible Intervals: {'dice_score': (0.680970424338709, 0.8593964019651237), 'mIoU': (0.5361584146499606, 0.7417818374470109), 'precision': (0.7384262988151556, 0.9002825419479181), 'recall': (0.6438480912780253, 0.831106992066711)}
Run 5: {'dice_score': tensor(0.7799, device='cuda:0'), 'mIoU': tensor(0.6431, device='cuda:0'), 'precision': 0.8608047813177109, 'recall': 0.7257304266095161}, Credible Intervals: {'dice_score': (0.6919943644420044, 0.8521381316514699), 'mIoU': (0.5474418206336769, 0.732116839080093), 'precision': (0.7557654518110792, 0.8989481811494842), 'recall': (0.6507577567572751, 0.819715471797128)}
Run 6: {'dice_score': tensor(0.7942, device='cuda:0'), 'mIoU': tensor(0.6599, device='cuda:0'), 'precision': 0.8264324605464936, 'recall': 0.7732226878404618}, Credible Intervals: {'dice_score': (0.7026614224124587, 0.8486321793781505), 'mIoU': (0.5586540574783156, 0.7274115309719575), 'precision': (0.76147222555021, 0.8929707696951562), 'recall': (0.6645736362813406, 0.8181831233053947)}
Run 7: {'dice_score': tensor(0.7907, device='cuda:0'), 'mIoU': tensor(0.6544, device='cuda:0'), 'precision': 0.7883714467287064, 'recall': 0.8025063365697861}, Credible Intervals: {'dice_score': (0.7101904448083911, 0.8452917502273154), 'mIoU': (0.5664059301573283, 0.7228338317552803), 'precision': (0.7599246281975464, 0.8837368708542901), 'recall': (0.6793859371823361, 0.820374640069392)}
Run 8: {'dice_score': tensor(0.7929, device='cuda:0'), 'mIoU': tensor(0.6588, device='cuda:0'), 'precision': 0.8168546229600906, 'recall': 0.7835929676890373}, Credible Intervals: {'dice_score': (0.7164473261537752, 0.8427346443219154), 'mIoU': (0.5731493686505096, 0.7195549888384705), 'precision': (0.7630693064559154, 0.8793890974996993), 'recall': (0.6882935933480054, 0.8197034029905337)}
Run 9: {'dice_score': tensor(0.7886, device='cuda:0'), 'mIoU': tensor(0.6525, device='cuda:0'), 'precision': 0.8212737560272216, 'recall': 0.7699389025568962}, Credible Intervals: {'dice_score': (0.7210243252642456, 0.8401170773470108), 'mIoU': (0.5779426904837666, 0.7160964336962178), 'precision': (0.7662795260506206, 0.8761964171422745), 'recall': (0.6938347195824255, 0.8176359109008142)}
Run 10: {'dice_score': tensor(0.7754, device='cuda:0'), 'mIoU': tensor(0.6371, device='cuda:0'), 'precision': 0.8377341032028198, 'recall': 0.7399607196450233}, Credible Intervals: {'dice_score': (0.7234416374102575, 0.836691313866703), 'mIoU': (0.5804083364953305, 0.7116945576611942), 'precision': (0.7708183042456841, 0.8748993835089139), 'recall': (0.6952558093150859, 0.8131252110089168)}
Run 11: {'dice_score': tensor(0.7919, device='cuda:0'), 'mIoU': tensor(0.6567, device='cuda:0'), 'precision': 0.816528856754303, 'recall': 0.7772151291370392}, Credible Intervals: {'dice_score': (0.7271640114712541, 0.8350846706756534), 'mIoU': (0.5843987365234848, 0.7096054056676875), 'precision': (0.772537622875465, 0.8720534706150626), 'recall': (0.7001575167171541, 0.8123403218301299)}
