Run 17: {'dice_score': tensor(0.6915, device='cuda:0'), 'mIoU': tensor(0.5962, device='cuda:0'), 'precision': 0.8271318836405457, 'recall': 0.6937755299274735}, Credible Intervals: {'dice_score': (0.6507927255690441, 0.6953376308798775), 'mIoU': (0.5499337541207419, 0.5969059695581815), 'precision': (0.7656269385489275, 0.8046127415153886), 'recall': (0.6823489685036718, 0.7256926397126493)}
Run 18: {'dice_score': tensor(0.6170, device='cuda:0'), 'mIoU': tensor(0.5285, device='cuda:0'), 'precision': 0.8195642663702372, 'recall': 0.6107527141082836}, Credible Intervals: {'dice_score': (0.6482606556422175, 0.6916583383758808), 'mIoU': (0.5480862363773706, 0.5937712743406323), 'precision': (0.7681455509321191, 0.8059130577682622), 'recall': (0.6776823982806888, 0.7200184982212259)}
Run 19: {'dice_score': tensor(0.6818, device='cuda:0'), 'mIoU': tensor(0.5788, device='cuda:0'), 'precision': 0.8351300645260661, 'recall': 0.676529399480531}, Credible Intervals: {'dice_score': (0.6494676141863563, 0.6916900834571673), 'mIoU': (0.5491101181437816, 0.5935736020142994), 'precision': (0.771254483954608, 0.8078570326666925), 'recall': (0.6770505126962495, 0.7183056297901151)}
Run 20: {'dice_score': tensor(0.6777, device='cuda:0'), 'mIoU': tensor(0.5798, device='cuda:0'), 'precision': 0.8041866072949041, 'recall': 0.6985026319451318}, Credible Intervals: {'dice_score': (0.6503606279532895, 0.6915048820531795), 'mIoU': (0.5500969845752097, 0.5934312698854165), 'precision': (0.7724694994788948, 0.8081022837920353), 'recall': (0.6776136249582692, 0.7178248319561529)}
Run 21: {'dice_score': tensor(0.6395, device='cuda:0'), 'mIoU': tensor(0.5462, device='cuda:0'), 'precision': 0.7714308462010787, 'recall': 0.6888328668318985}, Credible Intervals: {'dice_score': (0.6493387165196458, 0.689539629950384), 'mIoU': (0.5493939876752842, 0.5917006724406736), 'precision': (0.7719741886340088, 0.8068052234013484), 'recall': (0.6776670280414807, 0.7169266919899457)}
Run 22: {'dice_score': tensor(0.6630, device='cuda:0'), 'mIoU': tensor(0.5700, device='cuda:0'), 'precision': 0.779853614757728, 'recall': 0.7039107663353825}, Credible Intervals: {'dice_score': (0.6495017092968289, 0.6887888904281754), 'mIoU': (0.5498533551753448, 0.5911892222473702), 'precision': (0.771928029015207, 0.8059860173924325), 'recall': (0.6784229733328777, 0.7167709619913047)}
Run 23: {'dice_score': tensor(0.6723, device='cuda:0'), 'mIoU': tensor(0.5693, device='cuda:0'), 'precision': 0.6830821837675054, 'recall': 0.7723802607014636}, Credible Intervals: {'dice_score': (0.6500721726337926, 0.6884932666176538), 'mIoU': (0.5502556113469049, 0.5906848831737084), 'precision': (0.7675743015409414, 0.8011488205104069), 'recall': (0.6821473075275462, 0.7195385389932257)}
Run 24: {'dice_score': tensor(0.6414, device='cuda:0'), 'mIoU': tensor(0.5259, device='cuda:0'), 'precision': 0.5916462313638619, 'recall': 0.854176199684592}, Credible Intervals: {'dice_score': (0.6492991127556511, 0.6869459296852252), 'mIoU': (0.5488174354716557, 0.5884175734144036), 'precision': (0.7596925924805399, 0.7929969575821278), 'recall': (0.6890329915233347, 0.7254099315736964)}
Run 25: {'dice_score': tensor(0.6854, device='cuda:0'), 'mIoU': tensor(0.5849, device='cuda:0'), 'precision': 0.7381924506887083, 'recall': 0.7605620249097947}, Credible Intervals: {'dice_score': (0.6503775927770774, 0.6872456590704976), 'mIoU': (0.5498724839760175, 0.588666545118856), 'precision': (0.7584650755018804, 0.791177049742707), 'recall': (0.6915684499234225, 0.7271350890354)}
Run 26: {'dice_score': tensor(0.7149, device='cuda:0'), 'mIoU': tensor(0.6077, device='cuda:0'), 'precision': 0.7944526142209218, 'recall': 0.7504610380613695}, Credible Intervals: {'dice_score': (0.6525306051616276, 0.6886346480200338), 'mIoU': (0.5517339109554951, 0.5897595670066216), 'precision': (0.7595551038025237, 0.7915948929251918), 'recall': (0.6935201110475698, 0.7283409572952276)}
Run 27: {'dice_score': tensor(0.6761, device='cuda:0'), 'mIoU': tensor(0.5778, device='cuda:0'), 'precision': 0.7628872539699225, 'recall': 0.7548602890169777}, Credible Intervals: {'dice_score': (0.6530757504434265, 0.6885002700162903), 'mIoU': (0.5523522061806835, 0.5896651396818484), 'precision': (0.7593730378592909, 0.7908384899517652), 'recall': (0.6954984045006731, 0.7296120395677879)}
Run 28: {'dice_score': tensor(0.6693, device='cuda:0'), 'mIoU': tensor(0.5596, device='cuda:0'), 'precision': 0.6933703943467913, 'recall': 0.7820428391661014}, Credible Intervals: {'dice_score': (0.6533393384680546, 0.6881279144977712), 'mIoU': (0.5522805736189063, 0.5889262963452191), 'precision': (0.7566702229072594, 0.7877111839631629), 'recall': (0.6983269983655094, 0.7317399584044841)}
Run 29: {'dice_score': tensor(0.6799, device='cuda:0'), 'mIoU': tensor(0.5693, device='cuda:0'), 'precision': 0.6616285976078577, 'recall': 0.8276413557852991}, Credible Intervals: {'dice_score': (0.6539601123380542, 0.6881361332677011), 'mIoU': (0.5525536813278316, 0.5885632836142757), 'precision': (0.7530431437091683, 0.7837235264838971), 'recall': (0.7025630014380513, 0.7352596045806008)}
Run 30: {'dice_score': tensor(0.6854, device='cuda:0'), 'mIoU': tensor(0.5893, device='cuda:0'), 'precision': 0.8284890474859435, 'recall': 0.6942378107254593}, Credible Intervals: {'dice_score': (0.654730529277222, 0.6883204274388022), 'mIoU': (0.5534828991014562, 0.588881570950274), 'precision': (0.7553473027579181, 0.7854212259916382), 'recall': (0.7020016920866838, 0.7341781534960956)}
Run 31: {'dice_score': tensor(0.6588, device='cuda:0'), 'mIoU': tensor(0.5510, device='cuda:0'), 'precision': 0.6664312663874603, 'recall': 0.8183366794428383}, Credible Intervals: {'dice_score': (0.6545875345287839, 0.6876424831138188), 'mIoU': (0.5531176173674992, 0.5879478721956385), 'precision': (0.7521670703825075, 0.781903236327431), 'recall': (0.7055483109135887, 0.7370909560724191)}
Run 32: {'dice_score': tensor(0.6919, device='cuda:0'), 'mIoU': tensor(0.5934, device='cuda:0'), 'precision': 0.7761008905750305, 'recall': 0.7317487244274495}, Credible Intervals: {'dice_score': (0.655504262523293, 0.6880228666673807), 'mIoU': (0.55410731407994, 0.5883825584606834), 'precision': (0.7526900113772321, 0.7819462208897793), 'recall': (0.706127434171931, 0.7371628634776084)}
Run 33: {'dice_score': tensor(0.7062, device='cuda:0'), 'mIoU': tensor(0.6038, device='cuda:0'), 'precision': 0.7807435546317377, 'recall': 0.7567497864133937}, Credible Intervals: {'dice_score': (0.6568085702172208, 0.6888051324295168), 'mIoU': (0.5553575268389213, 0.5891002731382236), 'precision': (0.7533281432705747, 0.782120797987417), 'recall': (0.7074445574172031, 0.7379707901737205)}
Run 34: {'dice_score': tensor(0.7165, device='cuda:0'), 'mIoU': tensor(0.6110, device='cuda:0'), 'precision': 0.7699163434062227, 'recall': 0.7758734049091923}, Credible Intervals: {'dice_score': (0.6583442839809612, 0.6898354322352669), 'mIoU': (0.5567513512003672, 0.5899834250875223), 'precision': (0.7536068732860035, 0.7819708589996176), 'recall': (0.7092585560353799, 0.7392806128177477)}
Run 35: {'dice_score': tensor(0.6959, device='cuda:0'), 'mIoU': tensor(0.5981, device='cuda:0'), 'precision': 0.7996908142308677, 'recall': 0.7337373509934182}, Credible Intervals: {'dice_score': (0.6592000969148553, 0.6902232901515242), 'mIoU': (0.557698175217886, 0.5904455848977037), 'precision': (0.7547403033660399, 0.7826583753373155), 'recall': (0.709748979503209, 0.7393306069744551)}
Run 36: {'dice_score': tensor(0.6863, device='cuda:0'), 'mIoU': tensor(0.5855, device='cuda:0'), 'precision': 0.7799092704275384, 'recall': 0.7071381991844848}, Credible Intervals: {'dice_score': (0.6597415895076083, 0.6903235287530542), 'mIoU': (0.5582448327287881, 0.5905315601956507), 'precision': (0.7552527971360448, 0.7827679865342188), 'recall': (0.7094648129473144, 0.7386490667244316)}
Run 37: {'dice_score': tensor(0.7004, device='cuda:0'), 'mIoU': tensor(0.5944, device='cuda:0'), 'precision': 0.7201476362311885, 'recall': 0.7781615853151904}, Credible Intervals: {'dice_score': (0.6606420956457378, 0.6907918592983964), 'mIoU': (0.5590078939231166, 0.5908504778151632), 'precision': (0.7540934273337507, 0.7812889076554561), 'recall': (0.7111475713486577, 0.7398878113803151)}
Run 38: {'dice_score': tensor(0.6754, device='cuda:0'), 'mIoU': tensor(0.5805, device='cuda:0'), 'precision': 0.8157695949818523, 'recall': 0.6836637691924516}, Credible Intervals: {'dice_score': (0.6608323623608362, 0.6905834194770961), 'mIoU': (0.5593648796323174, 0.590784676626743), 'precision': (0.7555627991494174, 0.7823473917866564), 'recall': (0.7102197518894569, 0.7386150515161904)}
Run 39: {'dice_score': tensor(0.6857, device='cuda:0'), 'mIoU': tensor(0.5810, device='cuda:0'), 'precision': 0.7850608496096586, 'recall': 0.709752498793703}, Credible Intervals: {'dice_score': (0.6612836462707892, 0.6906451507661222), 'mIoU': (0.5597197067180942, 0.5907329910948111), 'precision': (0.7561562124689963, 0.7825790937464603), 'recall': (0.7100211728556525, 0.7380623373671066)}
Run 40: {'dice_score': tensor(0.7056, device='cuda:0'), 'mIoU': tensor(0.6050, device='cuda:0'), 'precision': 0.765691782609818, 'recall': 0.7741319812550819}, Credible Intervals: {'dice_score': (0.6622157749965834, 0.691191038478693), 'mIoU': (0.5606615879676689, 0.5912780452533903), 'precision': (0.7562285545330153, 0.782323139950174), 'recall': (0.7114678924810701, 0.7391176951396896)}
Run 41: {'dice_score': tensor(0.6878, device='cuda:0'), 'mIoU': tensor(0.5837, device='cuda:0'), 'precision': 0.7301890065404115, 'recall': 0.7520080078069927}, Credible Intervals: {'dice_score': (0.6626667193775914, 0.6912805391292239), 'mIoU': (0.5610393883256708, 0.5912787099638013), 'precision': (0.7554174081310099, 0.7812294235995811), 'recall': (0.7122983965966997, 0.7395891377022901)}
Run 42: {'dice_score': tensor(0.6773, device='cuda:0'), 'mIoU': tensor(0.5737, device='cuda:0'), 'precision': 0.7145205071662969, 'recall': 0.7590623515411764}, Credible Intervals: {'dice_score': (0.6628465362967454, 0.6911178010397192), 'mIoU': (0.5611625248660475, 0.5910405280769786), 'precision': (0.7542673938469182, 0.7798197709713268), 'recall': (0.7132615545499945, 0.7402015961969723)}
Run 43: {'dice_score': tensor(0.6856, device='cuda:0'), 'mIoU': tensor(0.5852, device='cuda:0'), 'precision': 0.7711186091741721, 'recall': 0.7389551041650464}, Credible Intervals: {'dice_score': (0.6632132395661214, 0.6911496346723714), 'mIoU': (0.5615501216043606, 0.5910769946845706), 'precision': (0.7545131191748362, 0.7797634126354256), 'recall': (0.7137072728505833, 0.7403239016658094)}
Run 44: {'dice_score': tensor(0.6682, device='cuda:0'), 'mIoU': tensor(0.5710, device='cuda:0'), 'precision': 0.8237002217428386, 'recall': 0.6540373926693909}, Credible Intervals: {'dice_score': (0.6631660462588933, 0.6907880319578901), 'mIoU': (0.5615978101398447, 0.5907885923939649), 'precision': (0.7559656896148255, 0.780879568540233), 'recall': (0.7121772303040669, 0.7385396893836311)}
Run 45: {'dice_score': tensor(0.7066, device='cuda:0'), 'mIoU': tensor(0.5988, device='cuda:0'), 'precision': 0.7912260567163689, 'recall': 0.7257437566856092}, Credible Intervals: {'dice_score': (0.6639848097763128, 0.6912838634433169), 'mIoU': (0.5622652737052041, 0.5911256054648018), 'precision': (0.7566204535433566, 0.7812374159217298), 'recall': (0.7123330429655158, 0.7384009880158997)}
