Run 1: {'dice_score': tensor(0.7538, device='cuda:0'), 'mIoU': tensor(0.6792, device='cuda:0'), 'precision': 0.8790780706806332, 'recall': 0.7666488041247035}, Credible Intervals: {'dice_score': (0.660724706957097, 0.8276941716248725), 'mIoU': (0.5822855513156042, 0.7626208787696577), 'precision': (0.8005713989187503, 0.9289585532541554), 'recall': (0.6745349235075211, 0.8386017774859433)}
Run 2: {'dice_score': tensor(0.8147, device='cuda:0'), 'mIoU': tensor(0.7356, device='cuda:0'), 'precision': 0.8529912796459536, 'recall': 0.8466418060258935}, Credible Intervals: {'dice_score': (0.7220417947761044, 0.8355347825095855), 'mIoU': (0.6407897213708712, 0.7660404771101286), 'precision': (0.8117703269020462, 0.9062627654671644), 'recall': (0.7462269220610527, 0.8553004595013306)}
Run 3: {'dice_score': tensor(0.8426, device='cuda:0'), 'mIoU': tensor(0.7639, device='cuda:0'), 'precision': 0.8705994265718495, 'recall': 0.8572144829429124}, Credible Intervals: {'dice_score': (0.7549669369711448, 0.8446350963274084), 'mIoU': (0.6730875102427821, 0.7735695579596903), 'precision': (0.8244491987593769, 0.9012187610608865), 'recall': (0.7762794067479327, 0.8624097181245756)}
Run 4: {'dice_score': tensor(0.8352, device='cuda:0'), 'mIoU': tensor(0.7549, device='cuda:0'), 'precision': 0.8722367706894875, 'recall': 0.8524857207805939}, Credible Intervals: {'dice_score': (0.7703046114159262, 0.8468219658637733), 'mIoU': (0.6879546293936625, 0.7743497772648911), 'precision': (0.8320502435609473, 0.8982783076495304), 'recall': (0.7908448556230764, 0.8642592148249877)}
Run 5: {'dice_score': tensor(0.8356, device='cuda:0'), 'mIoU': tensor(0.7568, device='cuda:0'), 'precision': 0.8497056872412619, 'recall': 0.8593568542536473}, Credible Intervals: {'dice_score': (0.7800256330421255, 0.847817351854721), 'mIoU': (0.6978041419642508, 0.7746922361040688), 'precision': (0.8321278448222568, 0.8920672606419577), 'recall': (0.8014694367850083, 0.8662602732526092)}
Run 6: {'dice_score': tensor(0.8145, device='cuda:0'), 'mIoU': tensor(0.7329, device='cuda:0'), 'precision': 0.8042890733827849, 'recall': 0.8763896415959925}, Credible Intervals: {'dice_score': (0.783052284701626, 0.8449899286235778), 'mIoU': (0.700541314929271, 0.7708335542460654), 'precision': (0.8243394165914091, 0.8807117182434115), 'recall': (0.8118188375070365, 0.8699955252037241)}
Run 7: {'dice_score': tensor(0.8107, device='cuda:0'), 'mIoU': tensor(0.7350, device='cuda:0'), 'precision': 0.8829434332259113, 'recall': 0.8151156676776513}, Credible Intervals: {'dice_score': (0.784825493635334, 0.842268914709329), 'mIoU': (0.7030269024422696, 0.7681491645681755), 'precision': (0.8310520594153131, 0.8826425440908866), 'recall': (0.8100372072772761, 0.8644496805474043)}
Run 8: {'dice_score': tensor(0.7816, device='cuda:0'), 'mIoU': tensor(0.7046, device='cuda:0'), 'precision': 0.8874258831058478, 'recall': 0.7793470281263837}, Credible Intervals: {'dice_score': (0.7824684312690084, 0.8366735821576466), 'mIoU': (0.7011211299217285, 0.7623465267322312), 'precision': (0.8367779345964671, 0.8845247660017548), 'recall': (0.8041265757151204, 0.8559568447991396)}
Run 9: {'dice_score': tensor(0.8046, device='cuda:0'), 'mIoU': tensor(0.7244, device='cuda:0'), 'precision': 0.8619353839755058, 'recall': 0.8363451580782862}, Credible Intervals: {'dice_score': (0.7834293996007964, 0.8346133693957419), 'mIoU': (0.7020256439033516, 0.7598235061787069), 'precision': (0.8382822447377543, 0.8833049089108163), 'recall': (0.8063348342592537, 0.8551436452562647)}
Run 10: {'dice_score': tensor(0.8035, device='cuda:0'), 'mIoU': tensor(0.7219, device='cuda:0'), 'precision': 0.8900808676411289, 'recall': 0.7934411473692954}, Credible Intervals: {'dice_score': (0.7841530095098499, 0.8327812694108863), 'mIoU': (0.7025738931678179, 0.7574779314174745), 'precision': (0.842536143729389, 0.8848859893516182), 'recall': (0.8036610765926163, 0.850386973706238)}
Run 11: {'dice_score': tensor(0.8229, device='cuda:0'), 'mIoU': tensor(0.7426, device='cuda:0'), 'precision': 0.861057722411746, 'recall': 0.8329235903126218}, Credible Intervals: {'dice_score': (0.7866499375263517, 0.8329058739975099), 'mIoU': (0.7050231095418569, 0.7573126821680106), 'precision': (0.8432583961141968, 0.8836831965248078), 'recall': (0.8053034394530664, 0.8498136499732084)}
Run 12: {'dice_score': tensor(0.7917, device='cuda:0'), 'mIoU': tensor(0.7124, device='cuda:0'), 'precision': 0.873055369883907, 'recall': 0.7965527161830889}, Credible Intervals: {'dice_score': (0.7860608978965962, 0.8304920593586403), 'mIoU': (0.7045255742231299, 0.7546897432621694), 'precision': (0.8449568984808878, 0.8835770957597678), 'recall': (0.80354407423657, 0.8464222349148773)}
Run 13: {'dice_score': tensor(0.7940, device='cuda:0'), 'mIoU': tensor(0.7121, device='cuda:0'), 'precision': 0.8907958604272866, 'recall': 0.794886342761105}, Credible Intervals: {'dice_score': (0.7857829938863141, 0.8285730742241225), 'mIoU': (0.7041280002380133, 0.7524065550112372), 'precision': (0.8478628532283506, 0.88474042386393), 'recall': (0.8019655370445751, 0.8433844328715752)}
Run 14: {'dice_score': tensor(0.7943, device='cuda:0'), 'mIoU': tensor(0.7233, device='cuda:0'), 'precision': 0.8612392132680711, 'recall': 0.8069848436761609}, Credible Intervals: {'dice_score': (0.7856017717885753, 0.8269172527605742), 'mIoU': (0.7046393906148203, 0.7511867176192796), 'precision': (0.8481484234239325, 0.8837337437831153), 'recall': (0.801548189517958, 0.8415666348777554)}
Run 15: {'dice_score': tensor(0.7799, device='cuda:0'), 'mIoU': tensor(0.7063, device='cuda:0'), 'precision': 0.9247519833177517, 'recall': 0.7524274607931811}, Credible Intervals: {'dice_score': (0.7844783445185171, 0.8245358922360801), 'mIoU': (0.7039485849257343, 0.7489970171330199), 'precision': (0.8528746319908393, 0.8868287533227327), 'recall': (0.7974333806596916, 0.836488060613351)}
