Run 17: {'dice_score': tensor(0.8365, device='cuda:0'), 'mIoU': tensor(0.7630, device='cuda:0'), 'precision': 0.8699775715463329, 'recall': 0.8501435731871182}, Credible Intervals: {'dice_score': (0.8229972802932932, 0.8577439209967769), 'mIoU': (0.744153663269583, 0.7844445375986058), 'precision': (0.848265980131734, 0.8807241619597762), 'recall': (0.8598197646867378, 0.8911257511256461)}
Run 18: {'dice_score': tensor(0.8173, device='cuda:0'), 'mIoU': tensor(0.7456, device='cuda:0'), 'precision': 0.8777155845751665, 'recall': 0.8387992932591589}, Credible Intervals: {'dice_score': (0.8221494137002272, 0.8560309512917655), 'mIoU': (0.7436539362251027, 0.7828724869014971), 'precision': (0.8494901821398938, 0.8809657750481169), 'recall': (0.8581190133432547, 0.8887605102172985)}
Run 19: {'dice_score': tensor(0.8287, device='cuda:0'), 'mIoU': tensor(0.7494, device='cuda:0'), 'precision': 0.84541563520877, 'recall': 0.8819573746727205}, Credible Intervals: {'dice_score': (0.8220284779976678, 0.8550553836934409), 'mIoU': (0.743428259883716, 0.7816441544671004), 'precision': (0.8488173762373563, 0.8795573715157083), 'recall': (0.8589957448399514, 0.8887785700616544)}
Run 20: {'dice_score': tensor(0.8279, device='cuda:0'), 'mIoU': tensor(0.7538, device='cuda:0'), 'precision': 0.8708990605286854, 'recall': 0.8528762182258913}, Credible Intervals: {'dice_score': (0.8218939147562664, 0.8541303845666223), 'mIoU': (0.7434644222546938, 0.7807387028856697), 'precision': (0.8495554851548589, 0.8794891562558664), 'recall': (0.85827083603128, 0.8874064974960392)}
Run 21: {'dice_score': tensor(0.8347, device='cuda:0'), 'mIoU': tensor(0.7583, device='cuda:0'), 'precision': 0.8479539160540562, 'recall': 0.881202970008681}, Credible Intervals: {'dice_score': (0.8221186480474216, 0.8535932015128296), 'mIoU': (0.7437247147968156, 0.7801125495711411), 'precision': (0.8490913207661661, 0.8783783236052521), 'recall': (0.8590370657935149, 0.887435418915739)}
Run 22: {'dice_score': tensor(0.8280, device='cuda:0'), 'mIoU': tensor(0.7508, device='cuda:0'), 'precision': 0.8932685108360314, 'recall': 0.8363267727382443}, Credible Intervals: {'dice_score': (0.8220158469348536, 0.852803367791136), 'mIoU': (0.7436227904559314, 0.7792020062056083), 'precision': (0.8508265123806572, 0.8793232903154348), 'recall': (0.8576091272884545, 0.8855139020994759)}
Run 23: {'dice_score': tensor(0.8595, device='cuda:0'), 'mIoU': tensor(0.7839, device='cuda:0'), 'precision': 0.85723679334424, 'recall': 0.903909097920487}, Credible Intervals: {'dice_score': (0.8233475077422437, 0.8533884704864432), 'mIoU': (0.7450123572357539, 0.7797621985919619), 'precision': (0.8507834453565646, 0.8786859540696393), 'recall': (0.8593827990436838, 0.8865483283547922)}
Run 24: {'dice_score': tensor(0.8695, device='cuda:0'), 'mIoU': tensor(0.7979, device='cuda:0'), 'precision': 0.8914735674979306, 'recall': 0.8868982695148684}, Credible Intervals: {'dice_score': (0.8250041690843751, 0.8543188802461358), 'mIoU': (0.746893006098611, 0.7808394211507348), 'precision': (0.8522361758941231, 0.8794578695060138), 'recall': (0.8602733664221516, 0.8868169558000233)}
Run 25: {'dice_score': tensor(0.8365, device='cuda:0'), 'mIoU': tensor(0.7588, device='cuda:0'), 'precision': 0.8599359357525773, 'recall': 0.8597449571118603}, Credible Intervals: {'dice_score': (0.8251681547692331, 0.8539015370404452), 'mIoU': (0.7470292669977193, 0.7803010554396592), 'precision': (0.8522641986434346, 0.8789577102244821), 'recall': (0.8599650869941374, 0.8860229508879659)}
Run 26: {'dice_score': tensor(0.8242, device='cuda:0'), 'mIoU': tensor(0.7381, device='cuda:0'), 'precision': 0.8016048260033131, 'recall': 0.9229731072485446}, Credible Intervals: {'dice_score': (0.8248368199338075, 0.8530556618219647), 'mIoU': (0.7463474552984057, 0.7790211638424283), 'precision': (0.8499636708562226, 0.8763420667308282), 'recall': (0.8622199203864367, 0.887606926306635)}
