Run 17: {'dice_score': tensor(0.8607, device='cuda:0'), 'mIoU': tensor(0.7835, device='cuda:0'), 'precision': 0.8678196187429228, 'recall': 0.8945586365566947}, Credible Intervals: {'dice_score': (0.8271878854205116, 0.861575216620047), 'mIoU': (0.7462434350436198, 0.7864132713149711), 'precision': (0.8343093168158912, 0.8680682301485108), 'recall': (0.8747187393061844, 0.9044257323282766)}
Run 18: {'dice_score': tensor(0.8554, device='cuda:0'), 'mIoU': tensor(0.7754, device='cuda:0'), 'precision': 0.848903941668938, 'recall': 0.906774439524243}, Credible Intervals: {'dice_score': (0.8283086069051195, 0.8616772701358663), 'mIoU': (0.7473243344398912, 0.7863364229953733), 'precision': (0.8346503713501785, 0.8674738937482889), 'recall': (0.8761435396710789, 0.9049082026181272)}
Run 19: {'dice_score': tensor(0.8244, device='cuda:0'), 'mIoU': tensor(0.7525, device='cuda:0'), 'precision': 0.8957581268493392, 'recall': 0.826387738762459}, Credible Intervals: {'dice_score': (0.8276262205670692, 0.8602009436895806), 'mIoU': (0.7470695050520602, 0.7850866640086803), 'precision': (0.8375389567558437, 0.8692805591353446), 'recall': (0.8729682196280764, 0.9013459811655395)}
Run 20: {'dice_score': tensor(0.8495, device='cuda:0'), 'mIoU': tensor(0.7736, device='cuda:0'), 'precision': 0.8480776909793815, 'recall': 0.8954456383927849}, Credible Intervals: {'dice_score': (0.8283286492376922, 0.8600583545674163), 'mIoU': (0.7479342623608767, 0.7849706537011465), 'precision': (0.8376614615955303, 0.8686259131448376), 'recall': (0.8737615567298928, 0.9013799165187715)}
Run 21: {'dice_score': tensor(0.8409, device='cuda:0'), 'mIoU': tensor(0.7629, device='cuda:0'), 'precision': 0.8772553337265492, 'recall': 0.8665768618428505}, Credible Intervals: {'dice_score': (0.8285485224115576, 0.8595288882098495), 'mIoU': (0.7482057709871974, 0.7843609470828854), 'precision': (0.8392284021675049, 0.8693510939815076), 'recall': (0.8730425289582909, 0.9001032531286752)}
Run 22: {'dice_score': tensor(0.8526, device='cuda:0'), 'mIoU': tensor(0.7766, device='cuda:0'), 'precision': 0.8329692252862914, 'recall': 0.9176432846964694}, Credible Intervals: {'dice_score': (0.8293076255648726, 0.8595472426368953), 'mIoU': (0.7491030681348186, 0.7844041656297358), 'precision': (0.8385654535703242, 0.8680792603432178), 'recall': (0.8748343166355337, 0.9011310781914101)}
Run 23: {'dice_score': tensor(0.8228, device='cuda:0'), 'mIoU': tensor(0.7394, device='cuda:0'), 'precision': 0.8221542701125145, 'recall': 0.8940894493926317}, Credible Intervals: {'dice_score': (0.8286634825829077, 0.8583134907745724), 'mIoU': (0.7482711435478435, 0.7828592525802032), 'precision': (0.8374807344336799, 0.8664583118516325), 'recall': (0.8754004724018902, 0.9010950659199014)}
Run 24: {'dice_score': tensor(0.8529, device='cuda:0'), 'mIoU': tensor(0.7763, device='cuda:0'), 'precision': 0.8676849979162217, 'recall': 0.8922448463773263}, Credible Intervals: {'dice_score': (0.829383126947224, 0.8583809488210805), 'mIoU': (0.7490915333808739, 0.782930556844772), 'precision': (0.8384645720786615, 0.8667819920335009), 'recall': (0.8758443106335265, 0.9009837946582252)}
Run 25: {'dice_score': tensor(0.8459, device='cuda:0'), 'mIoU': tensor(0.7724, device='cuda:0'), 'precision': 0.861609717044048, 'recall': 0.8768996129029558}, Credible Intervals: {'dice_score': (0.8297607866417037, 0.8581683554712196), 'mIoU': (0.7496959329557901, 0.7828400204026333), 'precision': (0.8391226692933145, 0.866841706177045), 'recall': (0.8756151037629051, 0.9002932936010686)}
Run 26: {'dice_score': tensor(0.8621, device='cuda:0'), 'mIoU': tensor(0.7887, device='cuda:0'), 'precision': 0.8807558924301029, 'recall': 0.8865758140490747}, Credible Intervals: {'dice_score': (0.830758819900771, 0.8585653146653592), 'mIoU': (0.750900809445878, 0.7833606762794285), 'precision': (0.8404986850463917, 0.8675989468940077), 'recall': (0.8757983317314489, 0.9000042077247683)}
Run 27: {'dice_score': tensor(0.8502, device='cuda:0'), 'mIoU': tensor(0.7767, device='cuda:0'), 'precision': 0.8869824409626106, 'recall': 0.8600164699287511}, Credible Intervals: {'dice_score': (0.8312318521875686, 0.8585051562136102), 'mIoU': (0.7515662292803733, 0.7834035741696777), 'precision': (0.8420155594618957, 0.8685180981335646), 'recall': (0.8749446552268781, 0.8987953297668946)}
Run 28: {'dice_score': tensor(0.8395, device='cuda:0'), 'mIoU': tensor(0.7618, device='cuda:0'), 'precision': 0.83456212640249, 'recall': 0.9004657983885503}, Credible Intervals: {'dice_score': (0.8312802763957393, 0.858076876572947), 'mIoU': (0.7516441956781624, 0.7829184830368112), 'precision': (0.8414876203446324, 0.8675691946632655), 'recall': (0.8756656731715734, 0.8990441026695507)}
Run 29: {'dice_score': tensor(0.8443, device='cuda:0'), 'mIoU': tensor(0.7687, device='cuda:0'), 'precision': 0.8533383722652007, 'recall': 0.8889553734705874}, Credible Intervals: {'dice_score': (0.8314987971578607, 0.8578314808219418), 'mIoU': (0.7519654158425091, 0.7826945063400068), 'precision': (0.8416713273624662, 0.8673035357696689), 'recall': (0.8759258431102372, 0.898894172469002)}
Run 30: {'dice_score': tensor(0.8631, device='cuda:0'), 'mIoU': tensor(0.7884, device='cuda:0'), 'precision': 0.8739528209072034, 'recall': 0.8908325327293373}, Credible Intervals: {'dice_score': (0.8323527885676283, 0.8582021523824658), 'mIoU': (0.7529395991600837, 0.7831212885382314), 'precision': (0.8425575655970127, 0.8677133161996347), 'recall': (0.8762371572587387, 0.8988107393907827)}
Run 31: {'dice_score': tensor(0.8352, device='cuda:0'), 'mIoU': tensor(0.7595, device='cuda:0'), 'precision': 0.8484925836499123, 'recall': 0.8791194600050577}, Credible Intervals: {'dice_score': (0.8322275839626145, 0.8576794236497173), 'mIoU': (0.7529028434902417, 0.7826069016659265), 'precision': (0.8425399431435643, 0.8673029126879224), 'recall': (0.8761376139634068, 0.8983687455716249)}
Run 32: {'dice_score': tensor(0.8573, device='cuda:0'), 'mIoU': tensor(0.7858, device='cuda:0'), 'precision': 0.8739909905152917, 'recall': 0.8754901279195569}, Credible Intervals: {'dice_score': (0.8328242071862282, 0.8578507300223951), 'mIoU': (0.7537123333542937, 0.7829245242919518), 'precision': (0.8433505027786248, 0.86768275894523), 'recall': (0.8759293810243864, 0.8978426883020749)}
Run 33: {'dice_score': tensor(0.8586, device='cuda:0'), 'mIoU': tensor(0.7780, device='cuda:0'), 'precision': 0.8604372940957546, 'recall': 0.8971278599649668}, Credible Intervals: {'dice_score': (0.8334299946056166, 0.8580490191959007), 'mIoU': (0.7542343475047584, 0.7829884988391855), 'precision': (0.8436898883175581, 0.8676412502740923), 'recall': (0.8764191023507023, 0.8979729584710643)}
Run 34: {'dice_score': tensor(0.8448, device='cuda:0'), 'mIoU': tensor(0.7642, device='cuda:0'), 'precision': 0.8283374708756379, 'recall': 0.9072453432076968}, Credible Intervals: {'dice_score': (0.8335822873791845, 0.8578392326538118), 'mIoU': (0.7543143795105476, 0.7826487462304633), 'precision': (0.8430367587673707, 0.8666886897249575), 'recall': (0.877191625051563, 0.8983784637792459)}
Run 35: {'dice_score': tensor(0.8485, device='cuda:0'), 'mIoU': tensor(0.7683, device='cuda:0'), 'precision': 0.8274475735455343, 'recall': 0.9158354054437109}, Credible Intervals: {'dice_score': (0.8338389056825849, 0.8577424918205172), 'mIoU': (0.7545129803813352, 0.782440456401364), 'precision': (0.842398023916646, 0.8657625911313839), 'recall': (0.8781768865051345, 0.8989943041324169)}
Run 36: {'dice_score': tensor(0.8554, device='cuda:0'), 'mIoU': tensor(0.7759, device='cuda:0'), 'precision': 0.9014331939906972, 'recall': 0.8510357031331754}, Credible Intervals: {'dice_score': (0.8342813454269362, 0.8578345520996642), 'mIoU': (0.7549178818296208, 0.782446754119747), 'precision': (0.8439182674430463, 0.8668702255360006), 'recall': (0.877238164092111, 0.8978491803170432)}
Run 37: {'dice_score': tensor(0.8569, device='cuda:0'), 'mIoU': tensor(0.7851, device='cuda:0'), 'precision': 0.8651205658993959, 'recall': 0.9024620537684211}, Credible Intervals: {'dice_score': (0.8347439722067183, 0.8579591875727368), 'mIoU': (0.7555573494803334, 0.7826939528590422), 'precision': (0.8443452377791648, 0.8669684539075817), 'recall': (0.8777967381791665, 0.8980961619646799)}
Run 38: {'dice_score': tensor(0.8546, device='cuda:0'), 'mIoU': tensor(0.7779, device='cuda:0'), 'precision': 0.8500081803483676, 'recall': 0.902889133069048}, Credible Intervals: {'dice_score': (0.8351203882651835, 0.8580154814179463), 'mIoU': (0.7559712495336948, 0.7827395663234782), 'precision': (0.8443414712821936, 0.8666752307743513), 'recall': (0.8783390470820314, 0.8983395091430231)}
Run 39: {'dice_score': tensor(0.8379, device='cuda:0'), 'mIoU': tensor(0.7677, device='cuda:0'), 'precision': 0.8639872821221658, 'recall': 0.8606072730675787}, Credible Intervals: {'dice_score': (0.8350383369020802, 0.8576520284061485), 'mIoU': (0.7561007293585345, 0.782525795569594), 'precision': (0.8447093672894633, 0.8667417218282476), 'recall': (0.8777299102647118, 0.897527914238846)}
Run 40: {'dice_score': tensor(0.8520, device='cuda:0'), 'mIoU': tensor(0.7701, device='cuda:0'), 'precision': 0.8438314512424182, 'recall': 0.9033279189573027}, Credible Intervals: {'dice_score': (0.8353268543021715, 0.8576481418385743), 'mIoU': (0.7562879468550452, 0.7823802227164265), 'precision': (0.8445412759047916, 0.8663156905791196), 'recall': (0.8782611624074994, 0.8977808525917496)}
Run 41: {'dice_score': tensor(0.8432, device='cuda:0'), 'mIoU': tensor(0.7632, device='cuda:0'), 'precision': 0.8517235244810581, 'recall': 0.8919741238467396}, Credible Intervals: {'dice_score': (0.8353821000996842, 0.8574346652756701), 'mIoU': (0.7562965620910664, 0.7820748978458241), 'precision': (0.8445815305923949, 0.8660948810196717), 'recall': (0.8784805813589721, 0.8977540889179823)}
Run 42: {'dice_score': tensor(0.8464, device='cuda:0'), 'mIoU': tensor(0.7703, device='cuda:0'), 'precision': 0.8587852263836723, 'recall': 0.8841894405068256}, Credible Intervals: {'dice_score': (0.8355144563312831, 0.8573033577290761), 'mIoU': (0.7564773763817484, 0.7819463559669089), 'precision': (0.8447946167185811, 0.8660457897481604), 'recall': (0.8784987963667297, 0.8975490076363399)}
