Run 17: {'dice_score': tensor(0.8128, device='cuda:0'), 'mIoU': tensor(0.7247, device='cuda:0'), 'precision': 0.7893991753550468, 'recall': 0.9070223362849451}, Credible Intervals: {'dice_score': (0.8171330819997767, 0.8523699868355342), 'mIoU': (0.737120030777159, 0.7778091794984281), 'precision': (0.843076826651957, 0.8760297507085144), 'recall': (0.8501163824309433, 0.8823948251776577)}
Run 18: {'dice_score': tensor(0.8511, device='cuda:0'), 'mIoU': tensor(0.7755, device='cuda:0'), 'precision': 0.8624176803414388, 'recall': 0.8792306097516216}, Credible Intervals: {'dice_score': (0.8185745067928007, 0.8527465046575664), 'mIoU': (0.7387191139137121, 0.7782093768757999), 'precision': (0.8437053167514532, 0.8757188796439166), 'recall': (0.8513241240896838, 0.8826256789529414)}
Run 19: {'dice_score': tensor(0.8711, device='cuda:0'), 'mIoU': tensor(0.8001, device='cuda:0'), 'precision': 0.8772071221843362, 'recall': 0.9041831839084625}, Credible Intervals: {'dice_score': (0.8209664989789264, 0.8540777572217717), 'mIoU': (0.7414895661198945, 0.779809811820558), 'precision': (0.8450923155025534, 0.8761697294871975), 'recall': (0.8537897474457401, 0.8840687397602404)}
Run 20: {'dice_score': tensor(0.8646, device='cuda:0'), 'mIoU': tensor(0.7922, device='cuda:0'), 'precision': 0.8759206475610734, 'recall': 0.8886411669955946}, Credible Intervals: {'dice_score': (0.8227899110643482, 0.8549568028427209), 'mIoU': (0.7435887944610624, 0.7808565272990579), 'precision': (0.8462821092624775, 0.8765059560135938), 'recall': (0.8552024723453442, 0.884623405808288)}
Run 21: {'dice_score': tensor(0.8501, device='cuda:0'), 'mIoU': tensor(0.7728, device='cuda:0'), 'precision': 0.8644640219469977, 'recall': 0.8844243015454508}, Credible Intervals: {'dice_score': (0.8237292893620858, 0.8550815614291916), 'mIoU': (0.7445519117398424, 0.7808971885892118), 'precision': (0.8467973198732758, 0.8762826094065381), 'recall': (0.8562778215710249, 0.8849275582986259)}
Run 22: {'dice_score': tensor(0.8486, device='cuda:0'), 'mIoU': tensor(0.7766, device='cuda:0'), 'precision': 0.8845314961010863, 'recall': 0.8584687750705875}, Credible Intervals: {'dice_score': (0.8245225143941751, 0.8551239708275765), 'mIoU': (0.7456133982830815, 0.7810924719558809), 'precision': (0.8482240890968302, 0.8769423078362932), 'recall': (0.8560298436269651, 0.8840744242642359)}
Run 23: {'dice_score': tensor(0.8333, device='cuda:0'), 'mIoU': tensor(0.7542, device='cuda:0'), 'precision': 0.8737531265732292, 'recall': 0.850482236832572}, Credible Intervals: {'dice_score': (0.8245641298761277, 0.8545165494814493), 'mIoU': (0.7455959431190715, 0.7803170147150007), 'precision': (0.8490443279130814, 0.8770917444196614), 'recall': (0.8554492456574814, 0.8829561877769704)}
Run 24: {'dice_score': tensor(0.8296, device='cuda:0'), 'mIoU': tensor(0.7560, device='cuda:0'), 'precision': 0.8623217037803229, 'recall': 0.8572677664582407}, Credible Intervals: {'dice_score': (0.8244489031768123, 0.8538032934761207), 'mIoU': (0.7456640607442266, 0.7796699935150235), 'precision': (0.849306195052402, 0.8767678005443633), 'recall': (0.8552195075878078, 0.8821929747991359)}
Run 25: {'dice_score': tensor(0.8345, device='cuda:0'), 'mIoU': tensor(0.7539, device='cuda:0'), 'precision': 0.8351496026664972, 'recall': 0.8894113763049245}, Credible Intervals: {'dice_score': (0.8245536476005111, 0.8533300476701492), 'mIoU': (0.745649606329891, 0.7789867974368213), 'precision': (0.848422866589396, 0.8754236223462694), 'recall': (0.8563535062452382, 0.8827128256211911)}
Run 26: {'dice_score': tensor(0.8479, device='cuda:0'), 'mIoU': tensor(0.7776, device='cuda:0'), 'precision': 0.8872937966672584, 'recall': 0.8621210150131958}, Credible Intervals: {'dice_score': (0.8251901678175286, 0.8533847551561681), 'mIoU': (0.7465731100874551, 0.7792363356079203), 'precision': (0.8496980022755889, 0.8760971619419352), 'recall': (0.8563118989265481, 0.8821851334687552)}
Run 27: {'dice_score': tensor(0.8435, device='cuda:0'), 'mIoU': tensor(0.7689, device='cuda:0'), 'precision': 0.8486260617706662, 'recall': 0.8872734800132439}, Credible Intervals: {'dice_score': (0.8256139934718217, 0.8532720963211875), 'mIoU': (0.7471048320721998, 0.7791482836302224), 'precision': (0.8493951462805509, 0.8753444027222195), 'recall': (0.857247216424664, 0.8825830872620252)}
Run 28: {'dice_score': tensor(0.8572, device='cuda:0'), 'mIoU': tensor(0.7906, device='cuda:0'), 'precision': 0.8926829464497795, 'recall': 0.8607274887999375}, Credible Intervals: {'dice_score': (0.8265160925028225, 0.853633689291013), 'mIoU': (0.7483954107112389, 0.7798174272527327), 'precision': (0.8507516824786898, 0.876150096248381), 'recall': (0.8571337282490767, 0.8820412358604357)}
Run 29: {'dice_score': tensor(0.8560, device='cuda:0'), 'mIoU': tensor(0.7798, device='cuda:0'), 'precision': 0.8542548804116525, 'recall': 0.9035891082988478}, Credible Intervals: {'dice_score': (0.8273190917783795, 0.8539290330844637), 'mIoU': (0.7492201482214996, 0.7800721288088829), 'precision': (0.8506430208615832, 0.8756254104003905), 'recall': (0.8585675915366029, 0.8829491770913727)}
