Run 1: {'dice_score': tensor(0.7791, device='cuda:0'), 'mIoU': tensor(0.6946, device='cuda:0'), 'precision': 0.8933629221304534, 'recall': 0.7667478466334566}, Credible Intervals: {'dice_score': (0.6880060472027063, 0.8490714889767197), 'mIoU': (0.5982399106195044, 0.7762685229394287), 'precision': (0.8174877256008628, 0.9395433471618764), 'recall': (0.6746417992777951, 0.8386855092929961)}
Run 2: {'dice_score': tensor(0.7875, device='cuda:0'), 'mIoU': tensor(0.6931, device='cuda:0'), 'precision': 0.7828809734640929, 'recall': 0.8649001522467828}, Credible Intervals: {'dice_score': (0.7210274168372106, 0.8346957858826523), 'mIoU': (0.6267301823529295, 0.753579804266437), 'precision': (0.7806740921822959, 0.8826011966602598), 'recall': (0.7562116301547872, 0.8633215353135054)}
Run 3: {'dice_score': tensor(0.7713, device='cuda:0'), 'mIoU': tensor(0.6772, device='cuda:0'), 'precision': 0.8169325343851318, 'recall': 0.8107756104337954}, Credible Intervals: {'dice_score': (0.7289339170571123, 0.8224911078323429), 'mIoU': (0.6337194732287112, 0.7380471110563867), 'precision': (0.7844647784198431, 0.8691445814060594), 'recall': (0.7661799050350901, 0.8540285538517114)}
Run 4: {'dice_score': tensor(0.7648, device='cuda:0'), 'mIoU': tensor(0.6779, device='cuda:0'), 'precision': 0.8945321183259729, 'recall': 0.755498562319685}, Credible Intervals: {'dice_score': (0.7322265468635101, 0.8137827515359485), 'mIoU': (0.6385811621257207, 0.7292418129771878), 'precision': (0.8083067713404039, 0.87884386222327), 'recall': (0.75742665214233, 0.8357468660083899)}
Run 5: {'dice_score': tensor(0.7173, device='cuda:0'), 'mIoU': tensor(0.6302, device='cuda:0'), 'precision': 0.8627293824501663, 'recall': 0.7228899373499484}, Credible Intervals: {'dice_score': (0.7248052456655443, 0.7990852052879793), 'mIoU': (0.6323113671666766, 0.7142027381656675), 'precision': (0.8160951822344709, 0.8786599927484554), 'recall': (0.745968667706266, 0.8179562328574068)}
Run 6: {'dice_score': tensor(0.7875, device='cuda:0'), 'mIoU': tensor(0.6926, device='cuda:0'), 'precision': 0.7739705354720354, 'recall': 0.879842399507761}, Credible Intervals: {'dice_score': (0.7324546643719867, 0.799896862005794), 'mIoU': (0.6391613442780508, 0.7137748830306965), 'precision': (0.8057135951494068, 0.8647316579559317), 'recall': (0.7662131681186775, 0.830128822332639)}
Run 7: {'dice_score': tensor(0.8030, device='cuda:0'), 'mIoU': tensor(0.7142, device='cuda:0'), 'precision': 0.8517597943341418, 'recall': 0.8161979961180523}, Credible Intervals: {'dice_score': (0.7404180477925343, 0.8023990867722364), 'mIoU': (0.6474290429228882, 0.7162347085096068), 'precision': (0.8103885604730572, 0.8647561749895595), 'recall': (0.7712671000685338, 0.8301976235748021)}
Run 8: {'dice_score': tensor(0.7650, device='cuda:0'), 'mIoU': tensor(0.6628, device='cuda:0'), 'precision': 0.7352310026437044, 'recall': 0.8799093392491341}, Credible Intervals: {'dice_score': (0.7415742845097382, 0.7996511144899328), 'mIoU': (0.6472040815842043, 0.7117172554101379), 'precision': (0.798612813421095, 0.8510710747531567), 'recall': (0.7835348110903788, 0.837628647994138)}
Run 9: {'dice_score': tensor(0.7133, device='cuda:0'), 'mIoU': tensor(0.6303, device='cuda:0'), 'precision': 0.9029072091312338, 'recall': 0.6979277296641625}, Credible Intervals: {'dice_score': (0.7366220258054721, 0.7919240290132026), 'mIoU': (0.6434641268903902, 0.7045745453942114), 'precision': (0.8092340617108814, 0.8577232126315564), 'recall': (0.7719799440742874, 0.8242575399810361)}
Run 10: {'dice_score': tensor(0.7610, device='cuda:0'), 'mIoU': tensor(0.6642, device='cuda:0'), 'precision': 0.8992668976419335, 'recall': 0.7323122779772712}, Credible Intervals: {'dice_score': (0.7376988738512329, 0.7902029274564755), 'mIoU': (0.6440259476434, 0.7020583333110044), 'precision': (0.8173944897777307, 0.8626696149216554), 'recall': (0.7664603524730336, 0.8166671502576133)}
Run 11: {'dice_score': tensor(0.8023, device='cuda:0'), 'mIoU': tensor(0.7023, device='cuda:0'), 'precision': 0.790776497349143, 'recall': 0.8906164008571289}, Credible Intervals: {'dice_score': (0.7425187576289158, 0.7923326627175215), 'mIoU': (0.6480838957022597, 0.7033086740279306), 'precision': (0.8137362843809268, 0.8574040494412007), 'recall': (0.7769865036073318, 0.8240871648267886)}
