Run 1: {'dice_score': tensor(0.8730, device='cuda:0'), 'mIoU': tensor(0.8029, device='cuda:0'), 'precision': 0.8693099161982536, 'recall': 0.9146398213598878}, Credible Intervals: {'dice_score': (0.7934275475869074, 0.9243575551262799), 'mIoU': (0.7141043099012283, 0.8688545922090865), 'precision': (0.7891552118708857, 0.9215707297926865), 'recall': (0.843261516276013, 0.9547393747548143)}
Run 2: {'dice_score': tensor(0.8627, device='cuda:0'), 'mIoU': tensor(0.7939, device='cuda:0'), 'precision': 0.893185299038887, 'recall': 0.8919573077710399}, Credible Intervals: {'dice_score': (0.813822806044556, 0.9077876488392242), 'mIoU': (0.7372882545370472, 0.8480494339633323), 'precision': (0.8289828562623809, 0.9188950113289127), 'recall': (0.8543418375996941, 0.936797318221575)}
Run 3: {'dice_score': tensor(0.8722, device='cuda:0'), 'mIoU': tensor(0.8047, device='cuda:0'), 'precision': 0.9115296865038683, 'recall': 0.8755592861912479}, Credible Intervals: {'dice_score': (0.8263950830275699, 0.9027412102626531), 'mIoU': (0.7515196309556246, 0.8417291720278685), 'precision': (0.8509965865533595, 0.9216327810935177), 'recall': (0.8540518125193199, 0.9239291924596945)}
Run 4: {'dice_score': tensor(0.8759, device='cuda:0'), 'mIoU': tensor(0.8066, device='cuda:0'), 'precision': 0.8856535457112039, 'recall': 0.903445370505879}, Credible Intervals: {'dice_score': (0.8345062710773561, 0.9002600004836874), 'mIoU': (0.7601268714512767, 0.8380777516112963), 'precision': (0.85541725332745, 0.9168891935682244), 'recall': (0.8626287888106141, 0.9225144896178915)}
Run 5: {'dice_score': tensor(0.8809, device='cuda:0'), 'mIoU': tensor(0.8107, device='cuda:0'), 'precision': 0.8923578018233345, 'recall': 0.8999588137970663}, Credible Intervals: {'dice_score': (0.8408517717729868, 0.8992738073035741), 'mIoU': (0.766653442550327, 0.8361715484569584), 'precision': (0.8599582225123303, 0.9148130526588599), 'recall': (0.867350970889626, 0.920726504035199)}
Run 6: {'dice_score': tensor(0.8724, device='cuda:0'), 'mIoU': tensor(0.7993, device='cuda:0'), 'precision': 0.8608268282598687, 'recall': 0.9168887022243238}, Credible Intervals: {'dice_score': (0.8437720246281182, 0.8971152384188403), 'mIoU': (0.7692861576610825, 0.8328523018100186), 'precision': (0.857478395195731, 0.9084982112792522), 'recall': (0.8738134418101385, 0.9218328129964788)}
Run 7: {'dice_score': tensor(0.8698, device='cuda:0'), 'mIoU': tensor(0.8032, device='cuda:0'), 'precision': 0.8790389238405814, 'recall': 0.9022376194737185}, Credible Intervals: {'dice_score': (0.8456192048513851, 0.895073900040205), 'mIoU': (0.7719386503357774, 0.830797721483397), 'precision': (0.8587324790988171, 0.9061227202978398), 'recall': (0.876253983225384, 0.9206473104583468)}
Run 8: {'dice_score': tensor(0.8676, device='cuda:0'), 'mIoU': tensor(0.7995, device='cuda:0'), 'precision': 0.8731088124129438, 'recall': 0.8976590432006292}, Credible Intervals: {'dice_score': (0.8468326753781257, 0.893182244665913), 'mIoU': (0.7735820156229494, 0.8286933000258474), 'precision': (0.8589887758576602, 0.9035485008538365), 'recall': (0.8775593130648978, 0.9191455155217898)}
Run 9: {'dice_score': tensor(0.8633, device='cuda:0'), 'mIoU': tensor(0.7884, device='cuda:0'), 'precision': 0.8724761834941442, 'recall': 0.892977798219154}, Credible Intervals: {'dice_score': (0.8473459448769458, 0.8911792109780474), 'mIoU': (0.7736736934011861, 0.825793226657564), 'precision': (0.8592011153846405, 0.9013910395518825), 'recall': (0.8780872037144347, 0.9174287391671035)}
Run 10: {'dice_score': tensor(0.8538, device='cuda:0'), 'mIoU': tensor(0.7786, device='cuda:0'), 'precision': 0.8519095031172037, 'recall': 0.9084598478674889}, Credible Intervals: {'dice_score': (0.8468114885951679, 0.8886256173559188), 'mIoU': (0.772796228032277, 0.8224529790871817), 'precision': (0.8572407175745497, 0.8976963886533748), 'recall': (0.8802388256162287, 0.9174094346342118)}
Run 11: {'dice_score': tensor(0.8807, device='cuda:0'), 'mIoU': tensor(0.8111, device='cuda:0'), 'precision': 0.8787607660889626, 'recall': 0.9165210157632828}, Credible Intervals: {'dice_score': (0.8490292986879482, 0.8887611138623773), 'mIoU': (0.7752206405244125, 0.8224714859960609), 'precision': (0.8582989919964038, 0.8968724168199793), 'recall': (0.8828246096356525, 0.9180301003893456)}
