Run 1: {'dice_score': tensor(0.7936, device='cuda:0'), 'mIoU': tensor(0.7016, device='cuda:0'), 'precision': 0.8106257298672085, 'recall': 0.8477533315227724}, Credible Intervals: {'dice_score': (0.7038225823302404, 0.8611417480497452), 'mIoU': (0.6055521043465313, 0.7824550484811392), 'precision': (0.7226156895726982, 0.8751569723128416), 'recall': (0.764338996277073, 0.9048930803696433)}
Run 2: {'dice_score': tensor(0.7836, device='cuda:0'), 'mIoU': tensor(0.6907, device='cuda:0'), 'precision': 0.8688039711282218, 'recall': 0.7851302237169243}, Credible Intervals: {'dice_score': (0.726737048031705, 0.8394080178485389), 'mIoU': (0.6291161424917558, 0.7557029133528097), 'precision': (0.7824336560810112, 0.8839664722046576), 'recall': (0.7568853571371974, 0.863859702627905)}
Run 3: {'dice_score': tensor(0.8124, device='cuda:0'), 'mIoU': tensor(0.7208, device='cuda:0'), 'precision': 0.8242485019564628, 'recall': 0.8633476559072732}, Credible Intervals: {'dice_score': (0.747312091755721, 0.8381712255328843), 'mIoU': (0.6503579782306849, 0.7531584979217861), 'precision': (0.7882664104459659, 0.872254283136113), 'recall': (0.7855699390890896, 0.8700498054713729)}
Run 4: {'dice_score': tensor(0.8068, device='cuda:0'), 'mIoU': tensor(0.7128, device='cuda:0'), 'precision': 0.8257718253135681, 'recall': 0.8588670207560063}, Credible Intervals: {'dice_score': (0.7570495852529832, 0.8354210142516748), 'mIoU': (0.6600176693172095, 0.7489641989925595), 'precision': (0.7925820767642356, 0.8657204266488963), 'recall': (0.799492193608125, 0.8715106344018008)}
Run 5: {'dice_score': tensor(0.8011, device='cuda:0'), 'mIoU': tensor(0.7033, device='cuda:0'), 'precision': 0.791953385555469, 'recall': 0.878705167184899}, Credible Intervals: {'dice_score': (0.7621736635232291, 0.8322467621855796), 'mIoU': (0.6644205468739408, 0.7440814284030741), 'precision': (0.7884459032880508, 0.8550946771034119), 'recall': (0.8125143574787955, 0.87563845966464)}
Run 6: {'dice_score': tensor(0.7658, device='cuda:0'), 'mIoU': tensor(0.6813, device='cuda:0'), 'precision': 0.8762442916475345, 'recall': 0.7456446836926551}, Credible Intervals: {'dice_score': (0.7596905811181651, 0.8243317296075932), 'mIoU': (0.6639314495575028, 0.7369742322445529), 'precision': (0.8009632402381377, 0.8606193231625937), 'recall': (0.7977369207577845, 0.8578182519522419)}
Run 7: {'dice_score': tensor(0.7937, device='cuda:0'), 'mIoU': tensor(0.6984, device='cuda:0'), 'precision': 0.8539445790788713, 'recall': 0.8136687535898186}, Credible Intervals: {'dice_score': (0.7623207681656651, 0.8221820129960201), 'mIoU': (0.66632928499418, 0.7340066862193835), 'precision': (0.8066611039248222, 0.8615007940193613), 'recall': (0.7978097288676679, 0.8537373901551546)}
Run 8: {'dice_score': tensor(0.7765, device='cuda:0'), 'mIoU': tensor(0.6817, device='cuda:0'), 'precision': 0.740474310182035, 'recall': 0.9061260940699362}, Credible Intervals: {'dice_score': (0.7621820106471702, 0.8184014446994152), 'mIoU': (0.6661401722232787, 0.7296091760506764), 'precision': (0.7960656532286884, 0.8488084954836969), 'recall': (0.8102102573464978, 0.8613281033319455)}
Run 9: {'dice_score': tensor(0.7799, device='cuda:0'), 'mIoU': tensor(0.6870, device='cuda:0'), 'precision': 0.8172657619416713, 'recall': 0.8281800639582798}, Credible Intervals: {'dice_score': (0.7625741285445737, 0.8157067306743673), 'mIoU': (0.6667150142697376, 0.7266392416961704), 'precision': (0.7969588379040761, 0.846771410689163), 'recall': (0.8107708022879399, 0.8590886909763001)}
Run 10: {'dice_score': tensor(0.7648, device='cuda:0'), 'mIoU': tensor(0.6630, device='cuda:0'), 'precision': 0.73697450671345, 'recall': 0.8818802598398179}, Credible Intervals: {'dice_score': (0.7614012493415767, 0.8120354629278936), 'mIoU': (0.664802834753293, 0.72184201517866), 'precision': (0.7893392640373672, 0.8374789924983047), 'recall': (0.816944594295111, 0.8622688014141537)}
Run 11: {'dice_score': tensor(0.7906, device='cuda:0'), 'mIoU': tensor(0.7014, device='cuda:0'), 'precision': 0.8715716043114662, 'recall': 0.8076436426848183}, Credible Intervals: {'dice_score': (0.7629437507302934, 0.8112043553244999), 'mIoU': (0.666879128417007, 0.7212375912807518), 'precision': (0.7959767127499129, 0.8413793869700359), 'recall': (0.8149389261301258, 0.8584836938071536)}
