Run 17: {'dice_score': tensor(0.8467, device='cuda:0'), 'mIoU': tensor(0.7747, device='cuda:0'), 'precision': 0.8701914275554279, 'recall': 0.8763757970289684}, Credible Intervals: {'dice_score': (0.814969540584277, 0.850383726587461), 'mIoU': (0.7354754986711617, 0.776255769306094), 'precision': (0.8285659120899082, 0.8628334145500054), 'recall': (0.8673508516772517, 0.8978654678128335)}
Run 18: {'dice_score': tensor(0.8486, device='cuda:0'), 'mIoU': tensor(0.7698, device='cuda:0'), 'precision': 0.871117166740504, 'recall': 0.8708514276252486}, Credible Intervals: {'dice_score': (0.8163846221442268, 0.8507319955745118), 'mIoU': (0.7368401451482081, 0.7764321166905688), 'precision': (0.8305183600857537, 0.86369907558831), 'recall': (0.8670907973015459, 0.8968220787702896)}
Run 19: {'dice_score': tensor(0.8598, device='cuda:0'), 'mIoU': tensor(0.7811, device='cuda:0'), 'precision': 0.889844228476286, 'recall': 0.8783301539719105}, Credible Intervals: {'dice_score': (0.8182745209504736, 0.8515975954505408), 'mIoU': (0.7386850932317017, 0.7771545136611455), 'precision': (0.8333019183339805, 0.8654048232623522), 'recall': (0.8672846147012302, 0.8962473622166475)}
Run 20: {'dice_score': tensor(0.8104, device='cuda:0'), 'mIoU': tensor(0.7352, device='cuda:0'), 'precision': 0.8853277332264173, 'recall': 0.8172428366422035}, Credible Intervals: {'dice_score': (0.8174237797392414, 0.8500027241463421), 'mIoU': (0.7380089192841542, 0.7755664424021167), 'precision': (0.8355794196269103, 0.8667177951835874), 'recall': (0.8642639482040604, 0.8928282810538339)}
Run 21: {'dice_score': tensor(0.8625, device='cuda:0'), 'mIoU': tensor(0.7856, device='cuda:0'), 'precision': 0.8609155920329056, 'recall': 0.9014870762930609}, Credible Intervals: {'dice_score': (0.8192370071583981, 0.8509278719448538), 'mIoU': (0.739863431469291, 0.7764476085339248), 'precision': (0.8364371318648145, 0.8667885750774882), 'recall': (0.8657513732878169, 0.8935216908865685)}
Run 22: {'dice_score': tensor(0.8400, device='cuda:0'), 'mIoU': tensor(0.7610, device='cuda:0'), 'precision': 0.8282286775252404, 'recall': 0.9031755274639822}, Credible Intervals: {'dice_score': (0.8198329455469165, 0.85078058797572), 'mIoU': (0.7404173662950471, 0.7761557537772897), 'precision': (0.8356799407564607, 0.8654237106547754), 'recall': (0.8671896732068616, 0.8942195406354254)}
Run 23: {'dice_score': tensor(0.8597, device='cuda:0'), 'mIoU': tensor(0.7839, device='cuda:0'), 'precision': 0.8578076096053598, 'recall': 0.9085618567572332}, Credible Intervals: {'dice_score': (0.8212693851033839, 0.8514603316370928), 'mIoU': (0.7419481405387398, 0.7768476691040899), 'precision': (0.8363333577590171, 0.8654001838048728), 'recall': (0.8687530399483595, 0.8950744683810086)}
Run 24: {'dice_score': tensor(0.8600, device='cuda:0'), 'mIoU': tensor(0.7883, device='cuda:0'), 'precision': 0.9001595772761989, 'recall': 0.8680973586173154}, Credible Intervals: {'dice_score': (0.8226072774119954, 0.8520924709718898), 'mIoU': (0.7435484965301724, 0.7776560309538652), 'precision': (0.8387703446770661, 0.8670642922368266), 'recall': (0.8684270311455926, 0.894250992785414)}
Run 25: {'dice_score': tensor(0.8373, device='cuda:0'), 'mIoU': tensor(0.7630, device='cuda:0'), 'precision': 0.8475068665131915, 'recall': 0.8872251538060031}, Credible Intervals: {'dice_score': (0.8229014616902075, 0.8517928560992283), 'mIoU': (0.7439889049979189, 0.7774042232469031), 'precision': (0.838830735408266, 0.8665717534122476), 'recall': (0.8689328730002209, 0.8942153248327158)}
Run 26: {'dice_score': tensor(0.8594, device='cuda:0'), 'mIoU': tensor(0.7865, device='cuda:0'), 'precision': 0.8948958465543467, 'recall': 0.8709812978295035}, Credible Intervals: {'dice_score': (0.8240568848772356, 0.8523291087866662), 'mIoU': (0.745327542770527, 0.7780484844925689), 'precision': (0.8407821089048524, 0.867861276994247), 'recall': (0.8687521487473265, 0.8935824499878184)}
