Run 1: {'dice_score': tensor(0.8425, device='cuda:0'), 'mIoU': tensor(0.7671, device='cuda:0'), 'precision': 0.894411189044109, 'recall': 0.8535269238324444}, Credible Intervals: {'dice_score': (0.7583865322135059, 0.9007751627160405), 'mIoU': (0.6750453090057266, 0.8390015435888908), 'precision': (0.8187403967321214, 0.9403089270352253), 'recall': (0.7709383587282124, 0.9094068321258364)}
Run 2: {'dice_score': tensor(0.8271, device='cuda:0'), 'mIoU': tensor(0.7529, device='cuda:0'), 'precision': 0.8635824657450257, 'recall': 0.8420285211235732}, Credible Intervals: {'dice_score': (0.7770160169899254, 0.8797532979376738), 'mIoU': (0.6961358616009862, 0.8138696803674095), 'precision': (0.8264229327306721, 0.9170393003719464), 'recall': (0.7913666691629339, 0.8908506710491473)}
Run 3: {'dice_score': tensor(0.8526, device='cuda:0'), 'mIoU': tensor(0.7809, device='cuda:0'), 'precision': 0.9282364225533987, 'recall': 0.8337257121747806}, Credible Intervals: {'dice_score': (0.7949909077626964, 0.877725592303652), 'mIoU': (0.7158625762113051, 0.8112066238657943), 'precision': (0.8555849515836192, 0.9250770812688554), 'recall': (0.797562497485768, 0.8798078190517021)}
Run 4: {'dice_score': tensor(0.8617, device='cuda:0'), 'mIoU': tensor(0.7899, device='cuda:0'), 'precision': 0.8894562656993985, 'recall': 0.8683565430567513}, Credible Intervals: {'dice_score': (0.807287216290516, 0.8779987628568171), 'mIoU': (0.7291049590150608, 0.811036539790828), 'precision': (0.8598664340695036, 0.920366865604176), 'recall': (0.8109972933828636, 0.8810700113714753)}
Run 5: {'dice_score': tensor(0.8324, device='cuda:0'), 'mIoU': tensor(0.7610, device='cuda:0'), 'precision': 0.8739830254768308, 'recall': 0.8583552303849961}, Credible Intervals: {'dice_score': (0.8087602015442955, 0.8724605705908188), 'mIoU': (0.7314858792559109, 0.8050666600383054), 'precision': (0.8594375026665145, 0.9143943317760596), 'recall': (0.8172921347198654, 0.8796678579251278)}
Run 6: {'dice_score': tensor(0.8622, device='cuda:0'), 'mIoU': tensor(0.7871, device='cuda:0'), 'precision': 0.8805969797074795, 'recall': 0.9005896001414753}, Credible Intervals: {'dice_score': (0.8153501182600962, 0.8730288562683577), 'mIoU': (0.7379373896524555, 0.8048442458155178), 'precision': (0.8606403200578127, 0.9110999853239123), 'recall': (0.8292959191135401, 0.8849230978778657)}
Run 7: {'dice_score': tensor(0.8552, device='cuda:0'), 'mIoU': tensor(0.7820, device='cuda:0'), 'precision': 0.8758616865698133, 'recall': 0.8696221669868923}, Credible Intervals: {'dice_score': (0.8191457835636977, 0.8723704564640815), 'mIoU': (0.7419825708458808, 0.8038193757408175), 'precision': (0.8609339656684404, 0.9079633356204884), 'recall': (0.8332483085552405, 0.8845267188995568)}
Run 8: {'dice_score': tensor(0.8542, device='cuda:0'), 'mIoU': tensor(0.7784, device='cuda:0'), 'precision': 0.8454315543253859, 'recall': 0.9059635788307883}, Credible Intervals: {'dice_score': (0.8219648871265997, 0.8716454263643632), 'mIoU': (0.7446847320673171, 0.8024927693203152), 'precision': (0.8571785620561374, 0.9020121951331853), 'recall': (0.8411711814646179, 0.8883163335411783)}
Run 9: {'dice_score': tensor(0.8182, device='cuda:0'), 'mIoU': tensor(0.7424, device='cuda:0'), 'precision': 0.9225482371588553, 'recall': 0.8018751155890435}, Credible Intervals: {'dice_score': (0.8200061633656842, 0.8672674139318679), 'mIoU': (0.7427266351507238, 0.797542398115535), 'precision': (0.863568719204111, 0.9051263451633853), 'recall': (0.8350732665539663, 0.8805039820323163)}
Run 10: {'dice_score': tensor(0.8276, device='cuda:0'), 'mIoU': tensor(0.7491, device='cuda:0'), 'precision': 0.7992741574494232, 'recall': 0.922504178300731}, Credible Intervals: {'dice_score': (0.8195216486145716, 0.8645632335946287), 'mIoU': (0.7419471872445202, 0.794131653332925), 'precision': (0.8555315644294919, 0.8962150618579243), 'recall': (0.8430949453273718, 0.8853754439491321)}
Run 11: {'dice_score': tensor(0.8322, device='cuda:0'), 'mIoU': tensor(0.7596, device='cuda:0'), 'precision': 0.8988968138295366, 'recall': 0.8210179852863653}, Credible Intervals: {'dice_score': (0.8196183566474211, 0.8626775669861974), 'mIoU': (0.7423581804965268, 0.7921836987089653), 'precision': (0.8586979357463855, 0.8972201990376177), 'recall': (0.8399116820723106, 0.8807289399658924)}
Run 12: {'dice_score': tensor(0.8356, device='cuda:0'), 'mIoU': tensor(0.7681, device='cuda:0'), 'precision': 0.9172839662704411, 'recall': 0.8289925276327789}, Credible Intervals: {'dice_score': (0.8200466647299518, 0.8613327121721216), 'mIoU': (0.7434851485860222, 0.7911939471188153), 'precision': (0.8629945233425395, 0.8994567032933289), 'recall': (0.8380197230653825, 0.8774166340568313)}
