Run 1: {'dice_score': tensor(0.8665, device='cuda:0'), 'mIoU': tensor(0.7909, device='cuda:0'), 'precision': 0.8647363621097588, 'recall': 0.9089074480639197}, Credible Intervals: {'dice_score': (0.7859422028872223, 0.9194579751859632), 'mIoU': (0.7008866147307785, 0.8589197722788815), 'precision': (0.7838485074629111, 0.9180735497944178), 'recall': (0.8362410112968552, 0.9507207101660569)}
Run 2: {'dice_score': tensor(0.8731, device='cuda:0'), 'mIoU': tensor(0.8026, device='cuda:0'), 'precision': 0.8856706048548222, 'recall': 0.9005843202769757}, Credible Intervals: {'dice_score': (0.8160224312218081, 0.9094164254909701), 'mIoU': (0.735524836447302, 0.8466113192642886), 'precision': (0.8221193450354789, 0.9139010550624346), 'recall': (0.8560258947082126, 0.9379528212409078)}
Run 3: {'dice_score': tensor(0.8786, device='cuda:0'), 'mIoU': tensor(0.8076, device='cuda:0'), 'precision': 0.8922147029785567, 'recall': 0.8966694553302027}, Credible Intervals: {'dice_score': (0.8301901237675965, 0.9056991275151915), 'mIoU': (0.7514003273958949, 0.841628455967175), 'precision': (0.8392578906491965, 0.9127040396927468), 'recall': (0.8631118283152467, 0.9306676994370816)}
Run 4: {'dice_score': tensor(0.8574, device='cuda:0'), 'mIoU': tensor(0.7831, device='cuda:0'), 'precision': 0.8723412458598614, 'recall': 0.8941139937107875}, Credible Intervals: {'dice_score': (0.8322267685392177, 0.8984209290348718), 'mIoU': (0.7537913286111771, 0.8326016705480944), 'precision': (0.843053199267745, 0.9071109317660684), 'recall': (0.8667261759019329, 0.9256831826525063)}
Run 5: {'dice_score': tensor(0.8603, device='cuda:0'), 'mIoU': tensor(0.7934, device='cuda:0'), 'precision': 0.895417133554556, 'recall': 0.8715488542488292}, Credible Intervals: {'dice_score': (0.8345733016155942, 0.8940939630992092), 'mIoU': (0.7579377963875717, 0.8285252378238642), 'precision': (0.850815944707339, 0.9074215555269513), 'recall': (0.8643178288896372, 0.9183074555064497)}
Run 6: {'dice_score': tensor(0.8662, device='cuda:0'), 'mIoU': tensor(0.8013, device='cuda:0'), 'precision': 0.9081141107003643, 'recall': 0.8765386595018563}, Credible Intervals: {'dice_score': (0.837470367394739, 0.8918281835376526), 'mIoU': (0.7623884122859688, 0.8267321563019455), 'precision': (0.8585009149480252, 0.9093406200610696), 'recall': (0.8639337772509865, 0.9137997799795953)}
Run 7: {'dice_score': tensor(0.8417, device='cuda:0'), 'mIoU': tensor(0.7571, device='cuda:0'), 'precision': 0.7979958725167671, 'recall': 0.9387167018780019}, Credible Intervals: {'dice_score': (0.8359377787549831, 0.8868293415453101), 'mIoU': (0.7591476452957717, 0.8193297230243536), 'precision': (0.8470997389849448, 0.8963283674398204), 'recall': (0.8735078637927896, 0.9183905259392514)}
Run 8: {'dice_score': tensor(0.8399, device='cuda:0'), 'mIoU': tensor(0.7639, device='cuda:0'), 'precision': 0.8670682823686807, 'recall': 0.874008943251775}, Credible Intervals: {'dice_score': (0.8347003963255168, 0.8827271299356391), 'mIoU': (0.7577686028602479, 0.8144012668245717), 'precision': (0.8480485677620174, 0.8942242165397305), 'recall': (0.8719625622529373, 0.9144777985492658)}
Run 9: {'dice_score': tensor(0.8813, device='cuda:0'), 'mIoU': tensor(0.8119, device='cuda:0'), 'precision': 0.8899059982597828, 'recall': 0.9127140995905825}, Credible Intervals: {'dice_score': (0.8387277250694322, 0.8836932144941461), 'mIoU': (0.7623661684410323, 0.8155172461092373), 'precision': (0.8515843017467852, 0.8948418787873175), 'recall': (0.8755021824620701, 0.9152518430907295)}
Run 10: {'dice_score': tensor(0.8286, device='cuda:0'), 'mIoU': tensor(0.7533, device='cuda:0'), 'precision': 0.9070046642853982, 'recall': 0.8184347886996364}, Credible Intervals: {'dice_score': (0.8364085645934587, 0.8795059146464991), 'mIoU': (0.7600139508157555, 0.8107635751449255), 'precision': (0.8562877871526412, 0.8968707400459398), 'recall': (0.8682442694753019, 0.9071812199290707)}
Run 11: {'dice_score': tensor(0.8636, device='cuda:0'), 'mIoU': tensor(0.7925, device='cuda:0'), 'precision': 0.8875494680869548, 'recall': 0.8776497861522607}, Credible Intervals: {'dice_score': (0.8379488427413728, 0.8789931481363716), 'mIoU': (0.7618623281424867, 0.8102090635776411), 'precision': (0.858285555851565, 0.8968607018309006), 'recall': (0.8681638277470393, 0.905438667267849)}
Run 12: {'dice_score': tensor(0.8625, device='cuda:0'), 'mIoU': tensor(0.7879, device='cuda:0'), 'precision': 0.8926869393616557, 'recall': 0.8623519887973912}, Credible Intervals: {'dice_score': (0.8391693321772897, 0.8784394456519354), 'mIoU': (0.7630457374275016, 0.8093319099037329), 'precision': (0.860438124382507, 0.8972190946966415), 'recall': (0.866779565985673, 0.9027613698099864)}
Run 13: {'dice_score': tensor(0.8730, device='cuda:0'), 'mIoU': tensor(0.8033, device='cuda:0'), 'precision': 0.896652051710171, 'recall': 0.8795819174091689}, Credible Intervals: {'dice_score': (0.8410820830429028, 0.8786989678992714), 'mIoU': (0.7653125879480722, 0.809690631818348), 'precision': (0.8626082396039283, 0.8977829684615385), 'recall': (0.8670558196192675, 0.9016893703526696)}
Run 14: {'dice_score': tensor(0.8613, device='cuda:0'), 'mIoU': tensor(0.7812, device='cuda:0'), 'precision': 0.8237888545002815, 'recall': 0.940556034158299}, Credible Intervals: {'dice_score': (0.8418686288812125, 0.8781143814477539), 'mIoU': (0.7656522583498615, 0.8084556492638011), 'precision': (0.8589813172890765, 0.893374221545211), 'recall': (0.8719395470778152, 0.9048096761988758)}
Run 15: {'dice_score': tensor(0.8355, device='cuda:0'), 'mIoU': tensor(0.7586, device='cuda:0'), 'precision': 0.819491817624976, 'recall': 0.9198562839732862}, Credible Intervals: {'dice_score': (0.8407644582130593, 0.8759589936132905), 'mIoU': (0.7644155489728524, 0.8059070964364605), 'precision': (0.8555753204929961, 0.8892417331309048), 'recall': (0.8747184215922269, 0.9062175613451733)}
Run 16: {'dice_score': tensor(0.8610, device='cuda:0'), 'mIoU': tensor(0.7878, device='cuda:0'), 'precision': 0.8908270490632626, 'recall': 0.8660910201224015}, Credible Intervals: {'dice_score': (0.8414927224023019, 0.8755589013678557), 'mIoU': (0.7652422601563935, 0.8054097165769615), 'precision': (0.8573184182137473, 0.8897954188429128), 'recall': (0.8736023665175602, 0.9042939490547287)}
Run 17: {'dice_score': tensor(0.8600, device='cuda:0'), 'mIoU': tensor(0.7809, device='cuda:0'), 'precision': 0.8381339532401468, 'recall': 0.9239583963261343}, Credible Intervals: {'dice_score': (0.8420926485300015, 0.8751378904144118), 'mIoU': (0.7655688109091329, 0.8045583351445278), 'precision': (0.8556109581886922, 0.8873450441115133), 'recall': (0.8762346485920248, 0.9057711547470714)}
Run 18: {'dice_score': tensor(0.8247, device='cuda:0'), 'mIoU': tensor(0.7395, device='cuda:0'), 'precision': 0.7883537355810404, 'recall': 0.9419429391622544}, Credible Intervals: {'dice_score': (0.8405893650035082, 0.8728859697601332), 'mIoU': (0.763509812832991, 0.8015655161948246), 'precision': (0.8512139469500557, 0.8825260058346656), 'recall': (0.8796379936911265, 0.9080156379366249)}
Run 19: {'dice_score': tensor(0.8750, device='cuda:0'), 'mIoU': tensor(0.8016, device='cuda:0'), 'precision': 0.8827848066389561, 'recall': 0.9080626539885998}, Credible Intervals: {'dice_score': (0.8420228416328943, 0.8733733375224049), 'mIoU': (0.7650455320330587, 0.802027421720678), 'precision': (0.8525063192976934, 0.8829054864336873), 'recall': (0.8808052294360511, 0.9083438809387198)}
Run 20: {'dice_score': tensor(0.8491, device='cuda:0'), 'mIoU': tensor(0.7774, device='cuda:0'), 'precision': 0.8706300148244793, 'recall': 0.885686544057874}, Credible Intervals: {'dice_score': (0.8419676811485303, 0.8725663733121931), 'mIoU': (0.7651951704975221, 0.8012618935414196), 'precision': (0.8530423804986441, 0.8826612975674107), 'recall': (0.8806834179828433, 0.907578646933005)}
Run 21: {'dice_score': tensor(0.8608, device='cuda:0'), 'mIoU': tensor(0.7848, device='cuda:0'), 'precision': 0.8413350512304737, 'recall': 0.9201301962242819}, Credible Intervals: {'dice_score': (0.8425085899495351, 0.872358164429851), 'mIoU': (0.7657058900531999, 0.8009013071238136), 'precision': (0.8520789452437251, 0.8811040244914996), 'recall': (0.8823097913526418, 0.9084238271450825)}
