Run 1: {'dice_score': tensor(0.8424, device='cuda:0'), 'mIoU': tensor(0.7648, device='cuda:0'), 'precision': 0.8853777557790998, 'recall': 0.8571572435200097}, Credible Intervals: {'dice_score': (0.7582520178027512, 0.9006816040282615), 'mIoU': (0.6725005203866317, 0.8370059120019799), 'precision': (0.8079973620963891, 0.9336603251685087), 'recall': (0.7751050260897134, 0.9122279949518357)}
Run 2: {'dice_score': tensor(0.8221, device='cuda:0'), 'mIoU': tensor(0.7485, device='cuda:0'), 'precision': 0.8524609896905262, 'recall': 0.8452887520051088}, Credible Intervals: {'dice_score': (0.7742133782483271, 0.8775627795553238), 'mIoU': (0.6925634644056403, 0.8108442917914156), 'precision': (0.8150185059895264, 0.9086737411801294), 'recall': (0.7951977334055491, 0.8937783557234531)}
Run 3: {'dice_score': tensor(0.8230, device='cuda:0'), 'mIoU': tensor(0.7488, device='cuda:0'), 'precision': 0.8728228906366365, 'recall': 0.8468998964633795}, Credible Intervals: {'dice_score': (0.7824170329404279, 0.8674646966582559), 'mIoU': (0.7022031615533934, 0.7993029130369425), 'precision': (0.8274012984122464, 0.9035269366430773), 'recall': (0.8048766420435893, 0.8856985638528471)}
Run 4: {'dice_score': tensor(0.8364, device='cuda:0'), 'mIoU': tensor(0.7605, device='cuda:0'), 'precision': 0.8680601196939948, 'recall': 0.8698912516525611}, Credible Intervals: {'dice_score': (0.79109339404269, 0.8644683998827903), 'mIoU': (0.7111687986034562, 0.7951542555668645), 'precision': (0.8330957041486396, 0.8991225510061533), 'recall': (0.8168613564297142, 0.8859014705369032)}
Run 5: {'dice_score': tensor(0.8461, device='cuda:0'), 'mIoU': tensor(0.7674, device='cuda:0'), 'precision': 0.8865770918130874, 'recall': 0.8630462899909712}, Credible Intervals: {'dice_score': (0.7988320488699627, 0.8640082775733724), 'mIoU': (0.7185384054002923, 0.7934543757485005), 'precision': (0.8409718335780745, 0.8993725232125928), 'recall': (0.8229651057619385, 0.8844297740098239)}
Run 6: {'dice_score': tensor(0.8322, device='cuda:0'), 'mIoU': tensor(0.7561, device='cuda:0'), 'precision': 0.8437066201865673, 'recall': 0.8979012942631271}, Credible Intervals: {'dice_score': (0.801777736015965, 0.8613254380720402), 'mIoU': (0.7217839164341557, 0.7902286885187785), 'precision': (0.8387099202327118, 0.8928706995069216), 'recall': (0.8335297540963144, 0.8885059143568586)}
Run 7: {'dice_score': tensor(0.8366, device='cuda:0'), 'mIoU': tensor(0.7606, device='cuda:0'), 'precision': 0.8517586307320139, 'recall': 0.8758430978999445}, Credible Intervals: {'dice_score': (0.8047263109086964, 0.8598077444011756), 'mIoU': (0.7249864991725383, 0.7883337135909545), 'precision': (0.8385412100055469, 0.8890532929172421), 'recall': (0.8378151794134995, 0.8884335905524957)}
Run 8: {'dice_score': tensor(0.8265, device='cuda:0'), 'mIoU': tensor(0.7467, device='cuda:0'), 'precision': 0.8214621570821333, 'recall': 0.8758540933637395}, Credible Intervals: {'dice_score': (0.8057311147695851, 0.8573755018659942), 'mIoU': (0.7257325404377946, 0.7851175148780087), 'precision': (0.8345047828297716, 0.8825577204444729), 'recall': (0.8411329103372938, 0.8882833621641312)}
Run 9: {'dice_score': tensor(0.8394, device='cuda:0'), 'mIoU': tensor(0.7591, device='cuda:0'), 'precision': 0.8450642719903985, 'recall': 0.8972112789201694}, Credible Intervals: {'dice_score': (0.8081127637446607, 0.8567260767309007), 'mIoU': (0.7278489966772537, 0.7838249878317365), 'precision': (0.8342760040444667, 0.8798070746283394), 'recall': (0.8463187698259707, 0.8902896443220345)}
Run 10: {'dice_score': tensor(0.8424, device='cuda:0'), 'mIoU': tensor(0.7652, device='cuda:0'), 'precision': 0.8502379489953498, 'recall': 0.885992402151458}, Credible Intervals: {'dice_score': (0.8104045343119104, 0.8564301730735693), 'mIoU': (0.7302466923377321, 0.7832955808007535), 'precision': (0.8347139522192885, 0.8780139338522008), 'recall': (0.8493191342654668, 0.8908134422548241)}
Run 11: {'dice_score': tensor(0.8342, device='cuda:0'), 'mIoU': tensor(0.7548, device='cuda:0'), 'precision': 0.8355409258866071, 'recall': 0.8791142209145714}, Credible Intervals: {'dice_score': (0.8115423470867352, 0.8554326340693446), 'mIoU': (0.7312889682854667, 0.7818934176765582), 'precision': (0.8337145051650103, 0.8752409196478209), 'recall': (0.851150109439979, 0.890621926094926)}
