Run 1: {'dice_score': tensor(0.7513, device='cuda:0'), 'mIoU': tensor(0.6422, device='cuda:0'), 'precision': 0.8482303052023054, 'recall': 0.7407478405180749}, Credible Intervals: {'dice_score': (0.6580449015039747, 0.8255576241294311), 'mIoU': (0.5443363159478892, 0.7293523304112544), 'precision': (0.764882951776324, 0.9052672036089134), 'recall': (0.6467822368715896, 0.8165085608865646)}
Run 2: {'dice_score': tensor(0.7274, device='cuda:0'), 'mIoU': tensor(0.6127, device='cuda:0'), 'precision': 0.7409354979544878, 'recall': 0.820981759428978}, Credible Intervals: {'dice_score': (0.6743056856647205, 0.7952453467516293), 'mIoU': (0.5585418529716608, 0.6914945962564464), 'precision': (0.7331742509401655, 0.8446905046825637), 'recall': (0.718419285414802, 0.8325350162483065)}
Run 3: {'dice_score': tensor(0.5685, device='cuda:0'), 'mIoU': tensor(0.4374, device='cuda:0'), 'precision': 0.4770550398528576, 'recall': 0.9066913488507271}, Credible Intervals: {'dice_score': (0.6276371179775458, 0.7324881642739599), 'mIoU': (0.5075014077882893, 0.6191003694318994), 'precision': (0.6341702159444648, 0.7384583303866462), 'recall': (0.7755283819328324, 0.8617891481652449)}
Run 4: {'dice_score': tensor(0.6207, device='cuda:0'), 'mIoU': tensor(0.5180, device='cuda:0'), 'precision': 0.8991976662740231, 'recall': 0.5596859024180246}, Credible Intervals: {'dice_score': (0.6193646813682983, 0.7113902267182822), 'mIoU': (0.5035633558571984, 0.6006078446173526), 'precision': (0.6962391216479602, 0.7818054581360903), 'recall': (0.7126307373541196, 0.7964552130203076)}
Run 5: {'dice_score': tensor(0.7469, device='cuda:0'), 'mIoU': tensor(0.6348, device='cuda:0'), 'precision': 0.7553527572005987, 'recall': 0.8078928837738931}, Credible Intervals: {'dice_score': (0.6408822413770607, 0.7222184294712927), 'mIoU': (0.52524552290796, 0.6117679479391911), 'precision': (0.7041092313597126, 0.7804186432226876), 'recall': (0.7281657443416869, 0.8020967634147649)}
Run 6: {'dice_score': tensor(0.7313, device='cuda:0'), 'mIoU': tensor(0.6239, device='cuda:0'), 'precision': 0.7699598064873244, 'recall': 0.7660421079617739}, Credible Intervals: {'dice_score': (0.6529008402192182, 0.7266710341514437), 'mIoU': (0.538268207273201, 0.6170801652698171), 'precision': (0.7121994489982195, 0.7815017119911125), 'recall': (0.731516379407432, 0.7990488020452344)}
Run 7: {'dice_score': tensor(0.7309, device='cuda:0'), 'mIoU': tensor(0.6224, device='cuda:0'), 'precision': 0.7388242300972343, 'recall': 0.8258687751647085}, Credible Intervals: {'dice_score': (0.661638382150699, 0.7296073397792077), 'mIoU': (0.5476080009978863, 0.6204493676769098), 'precision': (0.7135632840568076, 0.7778579220798886), 'recall': (0.7430198452895844, 0.804760429391413)}
Run 8: {'dice_score': tensor(0.6900, device='cuda:0'), 'mIoU': tensor(0.5709, device='cuda:0'), 'precision': 0.628845871463418, 'recall': 0.8988712772727012}, Credible Intervals: {'dice_score': (0.6630968820751492, 0.7267415339774609), 'mIoU': (0.5482927775146773, 0.6164896138019949), 'precision': (0.7005404797712638, 0.761806600013917), 'recall': (0.7612851923480819, 0.8175892963052701)}
Run 9: {'dice_score': tensor(0.7457, device='cuda:0'), 'mIoU': tensor(0.6374, device='cuda:0'), 'precision': 0.795504367351532, 'recall': 0.7779691992818865}, Credible Intervals: {'dice_score': (0.6706797796933823, 0.7303851936707745), 'mIoU': (0.5563880176666404, 0.6205621070441585), 'precision': (0.7096484667038065, 0.7669329580478755), 'recall': (0.7615572791526978, 0.8147800463917522)}
Run 10: {'dice_score': tensor(0.7200, device='cuda:0'), 'mIoU': tensor(0.6054, device='cuda:0'), 'precision': 0.6967545641586185, 'recall': 0.8355884885881096}, Credible Intervals: {'dice_score': (0.6741923486475788, 0.7307414030102947), 'mIoU': (0.5597380633450854, 0.6205928294089952), 'precision': (0.7068358160163013, 0.7614708166183151), 'recall': (0.7678484948400403, 0.8179361995737708)}
Run 11: {'dice_score': tensor(0.6154, device='cuda:0'), 'mIoU': tensor(0.4878, device='cuda:0'), 'precision': 0.5490730913728475, 'recall': 0.8846020686626435}, Credible Intervals: {'dice_score': (0.667413961079456, 0.721746336439598), 'mIoU': (0.5517826825854086, 0.6100055738355927), 'precision': (0.6908325080057227, 0.7439421130328279), 'recall': (0.7776795629168206, 0.8247209327389174)}
