Run 1: {'dice_score': tensor(0.8410, device='cuda:0'), 'mIoU': tensor(0.7680, device='cuda:0'), 'precision': 0.8711197593878556, 'recall': 0.8577909860540481}, Credible Intervals: {'dice_score': (0.756620541598894, 0.8995451192994691), 'mIoU': (0.675978765875777, 0.8397320612444104), 'precision': (0.7912617869348498, 0.9229480795153902), 'recall': (0.7758337903464373, 0.9127191022611625)}
Run 2: {'dice_score': tensor(0.8387, device='cuda:0'), 'mIoU': tensor(0.7634, device='cuda:0'), 'precision': 0.8591901067792369, 'recall': 0.8717289486697984}, Credible Intervals: {'dice_score': (0.7825617878160053, 0.8840657743476817), 'mIoU': (0.7022249282032157, 0.8190056775878809), 'precision': (0.8107811216167797, 0.9055261108150348), 'recall': (0.810337219927379, 0.9051951775127055)}
Run 3: {'dice_score': tensor(0.8402, device='cuda:0'), 'mIoU': tensor(0.7638, device='cuda:0'), 'precision': 0.8652093950396542, 'recall': 0.8670758053830935}, Credible Intervals: {'dice_score': (0.7941308420863096, 0.8770279312962125), 'mIoU': (0.7138658507998126, 0.8094735468358338), 'precision': (0.8218128035471457, 0.8991499112484364), 'recall': (0.822209505586994, 0.8994616619366101)}
Run 4: {'dice_score': tensor(0.8209, device='cuda:0'), 'mIoU': tensor(0.7382, device='cuda:0'), 'precision': 0.8361210820184226, 'recall': 0.8696134613534339}, Credible Intervals: {'dice_score': (0.7956274413433727, 0.8682766120061005), 'mIoU': (0.7140340394280271, 0.7977029350449018), 'precision': (0.8202358797554631, 0.8886687187146004), 'recall': (0.8296699543506387, 0.896352356371874)}
Run 5: {'dice_score': tensor(0.8600, device='cuda:0'), 'mIoU': tensor(0.7858, device='cuda:0'), 'precision': 0.879864434457686, 'recall': 0.8817515790760398}, Credible Intervals: {'dice_score': (0.8054138237051246, 0.8696193390036885), 'mIoU': (0.7246552849688213, 0.7989506866459538), 'precision': (0.8292866962748289, 0.8897063538110985), 'recall': (0.8371986451925396, 0.8962640850177066)}
Run 6: {'dice_score': tensor(0.8459, device='cuda:0'), 'mIoU': tensor(0.7697, device='cuda:0'), 'precision': 0.8938981178953668, 'recall': 0.8450847290581112}, Credible Intervals: {'dice_score': (0.8096721337643147, 0.8681474515244811), 'mIoU': (0.7292330229583969, 0.7969833316711586), 'precision': (0.838061773462061, 0.8923257336903002), 'recall': (0.8358399047058732, 0.8904550405850832)}
Run 7: {'dice_score': tensor(0.8391, device='cuda:0'), 'mIoU': tensor(0.7610, device='cuda:0'), 'precision': 0.8442839645594359, 'recall': 0.8998356503399536}, Credible Intervals: {'dice_score': (0.8118425952799573, 0.8660237608231363), 'mIoU': (0.7314195594037057, 0.794209551168348), 'precision': (0.8368434908775697, 0.887603599542304), 'recall': (0.8434701182183271, 0.8932499151828385)}
Run 8: {'dice_score': tensor(0.8545, device='cuda:0'), 'mIoU': tensor(0.7797, device='cuda:0'), 'precision': 0.8807988772428115, 'recall': 0.8660261294652521}, Credible Intervals: {'dice_score': (0.8156331476377652, 0.8660980980141411), 'mIoU': (0.7356290519070028, 0.7942086044744893), 'precision': (0.840946321224132, 0.8881225969048927), 'recall': (0.8447472801117446, 0.8913926025697744)}
Run 9: {'dice_score': tensor(0.8266, device='cuda:0'), 'mIoU': tensor(0.7519, device='cuda:0'), 'precision': 0.8663544617247431, 'recall': 0.8377868444734164}, Credible Intervals: {'dice_score': (0.8153840635117955, 0.8631800871863267), 'mIoU': (0.7357989941842383, 0.7911654593450024), 'precision': (0.8424977942835947, 0.8869741684602896), 'recall': (0.8424805022049255, 0.8869591414576252)}
Run 10: {'dice_score': tensor(0.8414, device='cuda:0'), 'mIoU': tensor(0.7577, device='cuda:0'), 'precision': 0.8536214789813638, 'recall': 0.8833451916383005}, Credible Intervals: {'dice_score': (0.8168239038724724, 0.8621612594609315), 'mIoU': (0.7366125757713384, 0.7891972920179007), 'precision': (0.8424486220412652, 0.88480931093995), 'recall': (0.8455911260755412, 0.8875593868605528)}
Run 11: {'dice_score': tensor(0.8358, device='cuda:0'), 'mIoU': tensor(0.7584, device='cuda:0'), 'precision': 0.8725918188911324, 'recall': 0.8503653619170636}, Credible Intervals: {'dice_score': (0.817518013119231, 0.8607965485045562), 'mIoU': (0.7374052451965393, 0.787584529801288), 'precision': (0.8442897483611781, 0.8845922283705561), 'recall': (0.8449978628524747, 0.8852159783852187)}
