Run 1: {'dice_score': tensor(0.8377, device='cuda:0'), 'mIoU': tensor(0.7594, device='cuda:0'), 'precision': 0.8571389434069439, 'recall': 0.8666115160392023}, Credible Intervals: {'dice_score': (0.7529069951040485, 0.8969463326467507), 'mIoU': (0.6667765052567023, 0.8324953785790136), 'precision': (0.7750839883113914, 0.912213807451838), 'recall': (0.7860213964490709, 0.9195102223101967)}
Run 2: {'dice_score': tensor(0.8233, device='cuda:0'), 'mIoU': tensor(0.7412, device='cuda:0'), 'precision': 0.8309240744676097, 'recall': 0.8748542433836587}, Credible Intervals: {'dice_score': (0.7722763021912735, 0.8760444762610721), 'mIoU': (0.6858936575845664, 0.8051720851195173), 'precision': (0.7872105706265686, 0.8876576808434827), 'recall': (0.8170641521123376, 0.9101858165728723)}
Run 3: {'dice_score': tensor(0.8011, device='cuda:0'), 'mIoU': tensor(0.7253, device='cuda:0'), 'precision': 0.8548855820702866, 'recall': 0.8242654157652762}, Credible Intervals: {'dice_score': (0.7732563732930484, 0.8599091473854459), 'mIoU': (0.689555282329217, 0.7881830676771853), 'precision': (0.802541802246747, 0.8838232502555149), 'recall': (0.8108694077256391, 0.8904892156114647)}
Run 4: {'dice_score': tensor(0.8309, device='cuda:0'), 'mIoU': tensor(0.7520, device='cuda:0'), 'precision': 0.8683151004116104, 'recall': 0.8490037211960302}, Credible Intervals: {'dice_score': (0.7828018573790851, 0.8574659276242472), 'mIoU': (0.699517501237701, 0.7847464176867226), 'precision': (0.8146948164657057, 0.8841197524282708), 'recall': (0.8156377433767835, 0.884895678365961)}
Run 5: {'dice_score': tensor(0.8345, device='cuda:0'), 'mIoU': tensor(0.7583, device='cuda:0'), 'precision': 0.844292060098171, 'recall': 0.869733265642077}, Credible Intervals: {'dice_score': (0.7897538290805226, 0.8562210451937053), 'mIoU': (0.7073443410851242, 0.7833497824406896), 'precision': (0.8171979150944486, 0.8795885617075317), 'recall': (0.8234371386945954, 0.8848248757003099)}
Run 6: {'dice_score': tensor(0.8278, device='cuda:0'), 'mIoU': tensor(0.7437, device='cuda:0'), 'precision': 0.8120551615760233, 'recall': 0.8875669985132337}, Credible Intervals: {'dice_score': (0.7934716824857198, 0.8541053943369546), 'mIoU': (0.710342828761648, 0.7798066022741771), 'precision': (0.8133991297374241, 0.8713540183945614), 'recall': (0.8320670241995263, 0.8872696438794705)}
Run 7: {'dice_score': tensor(0.8023, device='cuda:0'), 'mIoU': tensor(0.7230, device='cuda:0'), 'precision': 0.8452194186143811, 'recall': 0.8178214500250742}, Credible Intervals: {'dice_score': (0.7924557305328296, 0.8490196689811087), 'mIoU': (0.7096329097846047, 0.7742413824666381), 'precision': (0.8159576282861704, 0.8696040046655092), 'recall': (0.8276930400821587, 0.879754291908878)}
Run 8: {'dice_score': tensor(0.8338, device='cuda:0'), 'mIoU': tensor(0.7490, device='cuda:0'), 'precision': 0.8487329762801528, 'recall': 0.8612401972990483}, Credible Intervals: {'dice_score': (0.7959814894401863, 0.8487336761403712), 'mIoU': (0.7126234571781449, 0.7730168653568902), 'precision': (0.8184627771729597, 0.8685801705353446), 'recall': (0.8303576907369962, 0.8789601599676047)}
Run 9: {'dice_score': tensor(0.8025, device='cuda:0'), 'mIoU': tensor(0.7213, device='cuda:0'), 'precision': 0.8840715674459878, 'recall': 0.778844368056012}, Credible Intervals: {'dice_score': (0.7951601102032504, 0.8451601465586889), 'mIoU': (0.7118710579686502, 0.7690020764405168), 'precision': (0.8246521177947758, 0.8713634619678952), 'recall': (0.8228058696799612, 0.869737249749731)}
Run 10: {'dice_score': tensor(0.8158, device='cuda:0'), 'mIoU': tensor(0.7419, device='cuda:0'), 'precision': 0.8514392778310268, 'recall': 0.8465357519302457}, Credible Intervals: {'dice_score': (0.7959809537607649, 0.8434770969990267), 'mIoU': (0.713479814226143, 0.7676835079989419), 'precision': (0.8262038341668333, 0.8704956242227267), 'recall': (0.8240287043579029, 0.8685672921467154)}
Run 11: {'dice_score': tensor(0.7924, device='cuda:0'), 'mIoU': tensor(0.7062, device='cuda:0'), 'precision': 0.8403125490915335, 'recall': 0.832680245853155}, Credible Intervals: {'dice_score': (0.7944785698718927, 0.8400208931043078), 'mIoU': (0.7115242231902398, 0.7634173650167654), 'precision': (0.8264572199374545, 0.8687862713433985), 'recall': (0.8237541723220845, 0.8663747877958882)}
