Run 1: {'dice_score': tensor(0.7621, device='cuda:0'), 'mIoU': tensor(0.6705, device='cuda:0'), 'precision': 0.7787825815664919, 'recall': 0.8352049442851148}, Credible Intervals: {'dice_score': (0.6696579697988871, 0.8347697241727681), 'mIoU': (0.5732525296922946, 0.7548041379328471), 'precision': (0.6876733492484202, 0.8488149850142305), 'recall': (0.750104909154915, 0.8949745432496183)}
Run 2: {'dice_score': tensor(0.7444, device='cuda:0'), 'mIoU': tensor(0.6532, device='cuda:0'), 'precision': 0.7950275544926604, 'recall': 0.8053426756002494}, Credible Intervals: {'dice_score': (0.6890076804162456, 0.8078241596951208), 'mIoU': (0.5936581554208298, 0.7238027153879856), 'precision': (0.724904782518617, 0.8378985453539378), 'recall': (0.7610693583304721, 0.8671930009545656)}
Run 3: {'dice_score': tensor(0.7204, device='cuda:0'), 'mIoU': tensor(0.6354, device='cuda:0'), 'precision': 0.8404613894744375, 'recall': 0.739490027674224}, Credible Intervals: {'dice_score': (0.6899079744681715, 0.7884943914152475), 'mIoU': (0.5974768562342976, 0.704655539592395), 'precision': (0.7560961842205649, 0.8455851856873531), 'recall': (0.7438863884885474, 0.8352654653477516)}
Run 4: {'dice_score': tensor(0.7302, device='cuda:0'), 'mIoU': tensor(0.6456, device='cuda:0'), 'precision': 0.8722917052842912, 'recall': 0.7260053186406759}, Credible Intervals: {'dice_score': (0.6940892185678786, 0.7798739069217633), 'mIoU': (0.6031955262427072, 0.6962477147217829), 'precision': (0.7810693959348178, 0.8559967098988045), 'recall': (0.7331145875900784, 0.8145630085684741)}
Run 5: {'dice_score': tensor(0.7601, device='cuda:0'), 'mIoU': tensor(0.6719, device='cuda:0'), 'precision': 0.8079196940097674, 'recall': 0.8097186082852675}, Credible Intervals: {'dice_score': (0.7033874566980207, 0.7797640303485331), 'mIoU': (0.612596313218186, 0.6956570054245337), 'precision': (0.7827118926112139, 0.8501437984068427), 'recall': (0.7449060847291888, 0.8170142363898418)}
Run 6: {'dice_score': tensor(0.7663, device='cuda:0'), 'mIoU': tensor(0.6753, device='cuda:0'), 'precision': 0.8336069760158634, 'recall': 0.7999214221472748}, Credible Intervals: {'dice_score': (0.7109693302941795, 0.7803787682182726), 'mIoU': (0.6197895162001417, 0.6954771733497647), 'precision': (0.7886506691165699, 0.8498955961886872), 'recall': (0.7513308532241467, 0.8168701481506115)}
Run 7: {'dice_score': tensor(0.6752, device='cuda:0'), 'mIoU': tensor(0.5932, device='cuda:0'), 'precision': 0.886163868897413, 'recall': 0.6642966672051236}, Credible Intervals: {'dice_score': (0.7031038545145831, 0.7682202294009999), 'mIoU': (0.6132021953067528, 0.6837461665122048), 'precision': (0.8010064005168641, 0.8565464086337592), 'recall': (0.7358842913892432, 0.7982772681716954)}
Run 8: {'dice_score': tensor(0.7624, device='cuda:0'), 'mIoU': tensor(0.6735, device='cuda:0'), 'precision': 0.8088514346429837, 'recall': 0.8053689544503859}, Credible Intervals: {'dice_score': (0.7086438626380541, 0.7693306134232867), 'mIoU': (0.6186486384396255, 0.6845229771684187), 'precision': (0.8001560138661405, 0.8524401743676968), 'recall': (0.7428607285652236, 0.800826874683737)}
Run 9: {'dice_score': tensor(0.7773, device='cuda:0'), 'mIoU': tensor(0.6854, device='cuda:0'), 'precision': 0.8923792076330619, 'recall': 0.7645800799088573}, Credible Intervals: {'dice_score': (0.7147592512416483, 0.771688246938492), 'mIoU': (0.6243440568057571, 0.6863094964548879), 'precision': (0.8093720423767997, 0.857845868034257), 'recall': (0.7436707072485896, 0.7984099846741988)}
Run 10: {'dice_score': tensor(0.7728, device='cuda:0'), 'mIoU': tensor(0.6781, device='cuda:0'), 'precision': 0.818336061086971, 'recall': 0.7985255943304473}, Credible Intervals: {'dice_score': (0.7192605150592534, 0.7730769467690166), 'mIoU': (0.6282445767878844, 0.6869498598355049), 'precision': (0.8090010779084966, 0.8551743478121945), 'recall': (0.7479162257279799, 0.7996403842500702)}
