Run 17: {'dice_score': tensor(0.8727, device='cuda:0'), 'mIoU': tensor(0.8017, device='cuda:0'), 'precision': 0.8723673799393863, 'recall': 0.9125374877558446}, Credible Intervals: {'dice_score': (0.8542270901204606, 0.8860998031614586), 'mIoU': (0.7796663850656231, 0.8177218356484609), 'precision': (0.8561737694448676, 0.8878511777149308), 'recall': (0.8947943207706264, 0.9221115568205156)}
Run 18: {'dice_score': tensor(0.8877, device='cuda:0'), 'mIoU': tensor(0.8189, device='cuda:0'), 'precision': 0.8828585992753506, 'recall': 0.9197614195942879}, Credible Intervals: {'dice_score': (0.8556962647653985, 0.8865759092520512), 'mIoU': (0.7813584598656801, 0.8182678659346057), 'precision': (0.857250121063549, 0.8879773901060234), 'recall': (0.8958446369652654, 0.9223150657076317)}
Run 19: {'dice_score': tensor(0.8613, device='cuda:0'), 'mIoU': tensor(0.7899, device='cuda:0'), 'precision': 0.857129403817569, 'recall': 0.9013407978566811}, Credible Intervals: {'dice_score': (0.855565415543827, 0.885676756819875), 'mIoU': (0.7813109936231546, 0.8172741959959721), 'precision': (0.8568037437380963, 0.8867972039729372), 'recall': (0.8957627382580421, 0.9215840248713274)}
Run 20: {'dice_score': tensor(0.8568, device='cuda:0'), 'mIoU': tensor(0.7808, device='cuda:0'), 'precision': 0.8631898069937256, 'recall': 0.8904865187547435}, Credible Intervals: {'dice_score': (0.8552218560754739, 0.8846410023721465), 'mIoU': (0.7808119139037573, 0.8159276600925459), 'precision': (0.856731084708495, 0.8860104991080564), 'recall': (0.8951235674754117, 0.9204080696090716)}
Run 21: {'dice_score': tensor(0.8642, device='cuda:0'), 'mIoU': tensor(0.7935, device='cuda:0'), 'precision': 0.8647258478302302, 'recall': 0.9006758844073288}, Credible Intervals: {'dice_score': (0.8552901906182224, 0.8840289860146168), 'mIoU': (0.7809930461489685, 0.8152797792126762), 'precision': (0.8567515400960776, 0.8853583886756857), 'recall': (0.8950690926952873, 0.9197885857756575)}
Run 22: {'dice_score': tensor(0.8656, device='cuda:0'), 'mIoU': tensor(0.8014, device='cuda:0'), 'precision': 0.8962129263953463, 'recall': 0.8774439284612238}, Credible Intervals: {'dice_score': (0.8554267088147183, 0.8835243634224679), 'mIoU': (0.7815404162405022, 0.815031672613513), 'precision': (0.8582737089361439, 0.886119288002982), 'recall': (0.8939113340542226, 0.9182252788439954)}
Run 23: {'dice_score': tensor(0.8685, device='cuda:0'), 'mIoU': tensor(0.7927, device='cuda:0'), 'precision': 0.8536188082396984, 'recall': 0.9205206778645515}, Credible Intervals: {'dice_score': (0.8556923184016461, 0.8831783761858892), 'mIoU': (0.781655926956365, 0.8144277849961215), 'precision': (0.8577354417276923, 0.8850448537313291), 'recall': (0.8948403137735114, 0.9185509219673769)}
Run 24: {'dice_score': tensor(0.8605, device='cuda:0'), 'mIoU': tensor(0.7877, device='cuda:0'), 'precision': 0.9096816736459732, 'recall': 0.8673824551925907}, Credible Intervals: {'dice_score': (0.8555945019815996, 0.8825364812755593), 'mIoU': (0.781558013013725, 0.813667089278778), 'precision': (0.859685965748381, 0.8862801377752801), 'recall': (0.8933620375378055, 0.9167584225709109)}
Run 25: {'dice_score': tensor(0.8795, device='cuda:0'), 'mIoU': tensor(0.8049, device='cuda:0'), 'precision': 0.8773890492597068, 'recall': 0.9079898047552801}, Credible Intervals: {'dice_score': (0.8562993761597364, 0.8826631682201225), 'mIoU': (0.7821826033359613, 0.8136274619374939), 'precision': (0.8601373583404114, 0.8861806917027937), 'recall': (0.8937206072070152, 0.9166338687435198)}
Run 26: {'dice_score': tensor(0.8645, device='cuda:0'), 'mIoU': tensor(0.7912, device='cuda:0'), 'precision': 0.8499812163412571, 'recall': 0.9293886411190033}, Credible Intervals: {'dice_score': (0.8563535135779538, 0.8822233785196334), 'mIoU': (0.7822239334757741, 0.8130741637552026), 'precision': (0.8594608809957971, 0.8850769403803983), 'recall': (0.8949215998384363, 0.917292519987672)}
Run 27: {'dice_score': tensor(0.8977, device='cuda:0'), 'mIoU': tensor(0.8332, device='cuda:0'), 'precision': 0.9133574470318854, 'recall': 0.9033069990202784}, Credible Intervals: {'dice_score': (0.8576902077187938, 0.8829906811761152), 'mIoU': (0.7838615328533909, 0.8140625947716033), 'precision': (0.861283463410764, 0.8862935815455572), 'recall': (0.8950207407336822, 0.9169862770383952)}
Run 28: {'dice_score': tensor(0.8628, device='cuda:0'), 'mIoU': tensor(0.7892, device='cuda:0'), 'precision': 0.8903414164444492, 'recall': 0.8771353848384119}, Credible Intervals: {'dice_score': (0.8576371825717096, 0.8825052284658854), 'mIoU': (0.7837742665505076, 0.8134515853934081), 'precision': (0.8621231230643444, 0.8866346399118843), 'recall': (0.8941352175972159, 0.9158126643656206)}
Run 29: {'dice_score': tensor(0.8648, device='cuda:0'), 'mIoU': tensor(0.7935, device='cuda:0'), 'precision': 0.8900650426396761, 'recall': 0.8860718757055034}, Credible Intervals: {'dice_score': (0.8576627188840702, 0.8821142382124251), 'mIoU': (0.7838492435688528, 0.8130211003615544), 'precision': (0.8628980735821661, 0.8869400523822889), 'recall': (0.8936393077398083, 0.9150067402739218)}
Run 30: {'dice_score': tensor(0.8816, device='cuda:0'), 'mIoU': tensor(0.8116, device='cuda:0'), 'precision': 0.9019583582878112, 'recall': 0.8895752608310431}, Credible Intervals: {'dice_score': (0.8582729906528284, 0.8822839744789218), 'mIoU': (0.7845440196280059, 0.8132031329348256), 'precision': (0.8640363175885032, 0.8876020997461518), 'recall': (0.8933030453747374, 0.9143611009037804)}
Run 31: {'dice_score': tensor(0.8745, device='cuda:0'), 'mIoU': tensor(0.7973, device='cuda:0'), 'precision': 0.8638673239946365, 'recall': 0.9211130979657173}, Credible Intervals: {'dice_score': (0.8586104951688172, 0.8822214669736232), 'mIoU': (0.7847258819884475, 0.8129224559587218), 'precision': (0.8638268309168637, 0.8870414722794437), 'recall': (0.8940573165312186, 0.9147203435931233)}
Run 32: {'dice_score': tensor(0.8726, device='cuda:0'), 'mIoU': tensor(0.7988, device='cuda:0'), 'precision': 0.8658361037075519, 'recall': 0.9209269645810128}, Credible Intervals: {'dice_score': (0.8588652015020807, 0.8821002540482983), 'mIoU': (0.784945800148542, 0.812699219199976), 'precision': (0.8636977216568587, 0.8865714397356297), 'recall': (0.8947603031688848, 0.9150497410898752)}
Run 33: {'dice_score': tensor(0.8726, device='cuda:0'), 'mIoU': tensor(0.8047, device='cuda:0'), 'precision': 0.9066692399978638, 'recall': 0.8909684086070309}, Credible Intervals: {'dice_score': (0.8591085813613324, 0.8819850103586448), 'mIoU': (0.7853400596528907, 0.8126614220227548), 'precision': (0.8648634495025255, 0.887314657115775), 'recall': (0.8944729275956809, 0.9144934748861848)}
Run 34: {'dice_score': tensor(0.8694, device='cuda:0'), 'mIoU': tensor(0.8022, device='cuda:0'), 'precision': 0.9239236299939158, 'recall': 0.861882294877552}, Credible Intervals: {'dice_score': (0.8592437442808618, 0.8817845641287292), 'mIoU': (0.7856381250961475, 0.812550709014589), 'precision': (0.8664888421522601, 0.8884998498611685), 'recall': (0.8933114273332359, 0.913151911373675)}
Run 35: {'dice_score': tensor(0.8782, device='cuda:0'), 'mIoU': tensor(0.8078, device='cuda:0'), 'precision': 0.8790343824774027, 'recall': 0.913782820403576}, Credible Intervals: {'dice_score': (0.8596314580233513, 0.8818327891324592), 'mIoU': (0.7860870458522401, 0.8126006784054188), 'precision': (0.8666924097947675, 0.888384191875351), 'recall': (0.8937684651475682, 0.9132971317031277)}
Run 36: {'dice_score': tensor(0.8662, device='cuda:0'), 'mIoU': tensor(0.7948, device='cuda:0'), 'precision': 0.8828035013487309, 'recall': 0.8945530280576445}, Credible Intervals: {'dice_score': (0.8596549470004067, 0.8815556937404427), 'mIoU': (0.786143145515689, 0.8122927094256797), 'precision': (0.8669953174046889, 0.888373484269774), 'recall': (0.89364428109743, 0.9129229833215544)}
Run 37: {'dice_score': tensor(0.8677, device='cuda:0'), 'mIoU': tensor(0.7945, device='cuda:0'), 'precision': 0.8680892619529824, 'recall': 0.9034371748672224}, Credible Intervals: {'dice_score': (0.8597215039621725, 0.8813306357280511), 'mIoU': (0.7861896473671978, 0.8119901593520609), 'precision': (0.8668716997984913, 0.887978995568879), 'recall': (0.8937793440834783, 0.9127962155858119)}
Run 38: {'dice_score': tensor(0.8625, device='cuda:0'), 'mIoU': tensor(0.7950, device='cuda:0'), 'precision': 0.8873304267438535, 'recall': 0.8776779236096101}, Credible Intervals: {'dice_score': (0.8596453894881984, 0.8809838226027349), 'mIoU': (0.7862511465882638, 0.8117155137351781), 'precision': (0.8672810877627701, 0.8880903980523019), 'recall': (0.8932024525347495, 0.9120266036312947)}
Run 39: {'dice_score': tensor(0.8736, device='cuda:0'), 'mIoU': tensor(0.7984, device='cuda:0'), 'precision': 0.8556880201399326, 'recall': 0.9290484693646431}, Credible Intervals: {'dice_score': (0.8598698584602325, 0.8809277417292719), 'mIoU': (0.7864008773524633, 0.8115378157864823), 'precision': (0.8668311618873745, 0.8874133647448761), 'recall': (0.8940296348676815, 0.9125536597867163)}
Run 40: {'dice_score': tensor(0.8742, device='cuda:0'), 'mIoU': tensor(0.8028, device='cuda:0'), 'precision': 0.9021116080264716, 'recall': 0.8759486943518651}, Credible Intervals: {'dice_score': (0.8601006980725971, 0.880887750782353), 'mIoU': (0.7866570503636474, 0.8114738111283877), 'precision': (0.8676067308959272, 0.8878860513255384), 'recall': (0.8934340322852695, 0.9117834476368385)}
Run 41: {'dice_score': tensor(0.8162, device='cuda:0'), 'mIoU': tensor(0.7290, device='cuda:0'), 'precision': 0.7632114242017269, 'recall': 0.9544479733705521}, Credible Intervals: {'dice_score': (0.8588615516532335, 0.8794831584095432), 'mIoU': (0.7850620355114692, 0.8096525055674743), 'precision': (0.8648421711272187, 0.8850688445000411), 'recall': (0.8948622887524186, 0.9128815383506363)}
Run 42: {'dice_score': tensor(0.8725, device='cuda:0'), 'mIoU': tensor(0.7986, device='cuda:0'), 'precision': 0.9054897764390162, 'recall': 0.870928905020783}, Credible Intervals: {'dice_score': (0.8590667777773346, 0.8794366676751793), 'mIoU': (0.7852382604830901, 0.8095333596453829), 'precision': (0.865714350807069, 0.8856493337983957), 'recall': (0.8941538214842295, 0.9120227468083816)}
