Run 1: {'dice_score': tensor(0.7938, device='cuda:0'), 'mIoU': tensor(0.7023, device='cuda:0'), 'precision': 0.8402755848395941, 'recall': 0.8085686399162423}, Credible Intervals: {'dice_score': (0.7040383178378742, 0.8613046800405055), 'mIoU': (0.6062495540661055, 0.7830428600717115), 'precision': (0.7558393197784445, 0.8989997830907249), 'recall': (0.7203366713597514, 0.8734768878914092)}
Run 2: {'dice_score': tensor(0.7763, device='cuda:0'), 'mIoU': tensor(0.6887, device='cuda:0'), 'precision': 0.834088560660854, 'recall': 0.8019092267183752}, Credible Intervals: {'dice_score': (0.7228966788339477, 0.8362412538349031), 'mIoU': (0.628407702981227, 0.7550728790220392), 'precision': (0.7796366710541525, 0.8817948417814492), 'recall': (0.7447011405562527, 0.8540673776551553)}
Run 3: {'dice_score': tensor(0.7599, device='cuda:0'), 'mIoU': tensor(0.6727, device='cuda:0'), 'precision': 0.8056000750265424, 'recall': 0.8068091698594884}, Credible Intervals: {'dice_score': (0.7261310642002309, 0.8200804278892263), 'mIoU': (0.6333028975552817, 0.7376669723146558), 'precision': (0.77969104677638, 0.8652232211876626), 'recall': (0.7571744002389877, 0.8464914974214158)}
Run 4: {'dice_score': tensor(0.7691, device='cuda:0'), 'mIoU': tensor(0.6809, device='cuda:0'), 'precision': 0.8212564615379715, 'recall': 0.7899178610825185}, Credible Intervals: {'dice_score': (0.731281919367625, 0.8129522906468487), 'mIoU': (0.6390429299340787, 0.7296688107789688), 'precision': (0.7849983832659599, 0.8593256972168379), 'recall': (0.7598935434340474, 0.8378765171812173)}
Run 5: {'dice_score': tensor(0.7669, device='cuda:0'), 'mIoU': tensor(0.6837, device='cuda:0'), 'precision': 0.8542014363587092, 'recall': 0.7952954132635409}, Credible Intervals: {'dice_score': (0.7344464406156379, 0.8077102606972691), 'mIoU': (0.6436496726985986, 0.7248004290989535), 'precision': (0.7957080810758879, 0.8613347174196371), 'recall': (0.7632001959796393, 0.8331471285017364)}
Run 6: {'dice_score': tensor(0.7644, device='cuda:0'), 'mIoU': tensor(0.6633, device='cuda:0'), 'precision': 0.7329528153027763, 'recall': 0.8763834567374073}, Credible Intervals: {'dice_score': (0.7364516130063102, 0.8035049214365773), 'mIoU': (0.6435864105767997, 0.7179358265122563), 'precision': (0.7816420395223276, 0.8437513485482206), 'recall': (0.7799693085219623, 0.8422807781262254)}
Run 7: {'dice_score': tensor(0.7774, device='cuda:0'), 'mIoU': tensor(0.6936, device='cuda:0'), 'precision': 0.8388563698908409, 'recall': 0.7896640671353022}, Credible Intervals: {'dice_score': (0.7400276549910323, 0.8020445171158939), 'mIoU': (0.6482000013921997, 0.7169620392887672), 'precision': (0.7878650237174419, 0.8449618788614128), 'recall': (0.7790312516354115, 0.8371217811538161)}
Run 8: {'dice_score': tensor(0.7607, device='cuda:0'), 'mIoU': tensor(0.6651, device='cuda:0'), 'precision': 0.7703288653978365, 'recall': 0.8441744436565155}, Credible Intervals: {'dice_score': (0.7406703805836949, 0.79882457354986), 'mIoU': (0.6481785806893983, 0.7126408253958538), 'precision': (0.7836396024431128, 0.8377224704154919), 'recall': (0.7856303878105383, 0.8395038370750104)}
Run 9: {'dice_score': tensor(0.7655, device='cuda:0'), 'mIoU': tensor(0.6790, device='cuda:0'), 'precision': 0.8288029030107489, 'recall': 0.7806626387030456}, Credible Intervals: {'dice_score': (0.7418389731322573, 0.7967263344699752), 'mIoU': (0.6498541450028479, 0.7106548418677867), 'precision': (0.7872850027544275, 0.8380871097695684), 'recall': (0.7834464661801614, 0.834628761051185)}
Run 10: {'dice_score': tensor(0.7715, device='cuda:0'), 'mIoU': tensor(0.6808, device='cuda:0'), 'precision': 0.8183039013867931, 'recall': 0.8090032425185928}, Credible Intervals: {'dice_score': (0.7434732779045004, 0.7955413209308309), 'mIoU': (0.6514633733666333, 0.7091544513718773), 'precision': (0.7891677356432292, 0.8373238158938054), 'recall': (0.7847478862921546, 0.8333207225908577)}
Run 11: {'dice_score': tensor(0.7849, device='cuda:0'), 'mIoU': tensor(0.6929, device='cuda:0'), 'precision': 0.8253070898087348, 'recall': 0.8033648988430778}, Credible Intervals: {'dice_score': (0.7461238308630298, 0.7956746089817307), 'mIoU': (0.6539666168521499, 0.7089306966331494), 'precision': (0.7914266165993187, 0.8372503330354497), 'recall': (0.7853341759475346, 0.8317074408669729)}
Run 12: {'dice_score': tensor(0.7814, device='cuda:0'), 'mIoU': tensor(0.6910, device='cuda:0'), 'precision': 0.7905920074491536, 'recall': 0.8523647429505347}, Credible Intervals: {'dice_score': (0.7480762789219518, 0.7954631937813501), 'mIoU': (0.6559418757609737, 0.7085390666618543), 'precision': (0.7903342873433086, 0.8343978578327227), 'recall': (0.7901216919696353, 0.8342037288678076)}
Run 13: {'dice_score': tensor(0.7668, device='cuda:0'), 'mIoU': tensor(0.6753, device='cuda:0'), 'precision': 0.8321304387033244, 'recall': 0.7943010776452851}, Credible Intervals: {'dice_score': (0.7486083183744424, 0.7941707467221506), 'mIoU': (0.6564259318589227, 0.7069890209277757), 'precision': (0.7927765953694533, 0.8349872387545986), 'recall': (0.78955280853436, 0.8320329821466407)}
Run 14: {'dice_score': tensor(0.7525, device='cuda:0'), 'mIoU': tensor(0.6681, device='cuda:0'), 'precision': 0.8344757705644277, 'recall': 0.7765829746259442}, Credible Intervals: {'dice_score': (0.7480401688897284, 0.7920427999425765), 'mIoU': (0.6563540121158709, 0.7051228785428099), 'precision': (0.7950701241623956, 0.8356276069533886), 'recall': (0.7877842364010437, 0.8289280663234683)}
Run 15: {'dice_score': tensor(0.7340, device='cuda:0'), 'mIoU': tensor(0.6491, device='cuda:0'), 'precision': 0.8972954153975532, 'recall': 0.724325039905817}, Credible Intervals: {'dice_score': (0.7463062473266477, 0.7889774251305495), 'mIoU': (0.6550359691519314, 0.70223784150558), 'precision': (0.8014317607260779, 0.840163940367009), 'recall': (0.7826724175690384, 0.8228648269568626)}
Run 16: {'dice_score': tensor(0.7305, device='cuda:0'), 'mIoU': tensor(0.6453, device='cuda:0'), 'precision': 0.9034900558497242, 'recall': 0.7074172448975438}, Credible Intervals: {'dice_score': (0.7445951854228586, 0.7860590809077416), 'mIoU': (0.6536674466280583, 0.6994518421321896), 'precision': (0.8074147059454554, 0.8444924707642294), 'recall': (0.7771443533012737, 0.8165029729364742)}
Run 17: {'dice_score': tensor(0.7542, device='cuda:0'), 'mIoU': tensor(0.6526, device='cuda:0'), 'precision': 0.7425395978845524, 'recall': 0.8527334612181007}, Credible Intervals: {'dice_score': (0.7445372882791088, 0.784806037110014), 'mIoU': (0.6529191796440423, 0.697390157373895), 'precision': (0.8028725485307572, 0.8392436992191842), 'recall': (0.781127514270407, 0.8190824398599296)}
Run 18: {'dice_score': tensor(0.7524, device='cuda:0'), 'mIoU': tensor(0.6632, device='cuda:0'), 'precision': 0.9037555005981233, 'recall': 0.7164947009381095}, Credible Intervals: {'dice_score': (0.744403134450426, 0.7835798472300567), 'mIoU': (0.6528713939746191, 0.6961151180909277), 'precision': (0.8081474277962539, 0.8431376137329741), 'recall': (0.7768663300470537, 0.8140736928744267)}
